Time - Fc (N),Amplitude - Fc (N)
0.678,-0.979614
0.68,-0.979293
0.682,-0.978743
0.684,-0.977964
0.686,-0.976954
0.688,-0.975715
0.69,-0.974246
0.692,-0.972547
0.694,-0.970619
0.696,-0.96846
0.698,-0.966072
0.7,-0.963455
0.702,-0.960609
0.704,-0.957534
0.706,-0.95423
0.708,-0.950699
0.71,-0.946941
0.712,-0.942956
0.714,-0.938745
0.716,-0.934308
0.718,-0.929647
0.72,-0.924762
0.722,-0.919654
0.724,-0.914324
0.726,-0.908772
0.728,-0.903001
0.73,-0.89701
0.732,-0.890802
0.734,-0.884376
0.736,-0.877735
0.738,-0.87088
0.74,-0.863812
0.742,-0.856533
0.744,-0.849043
0.746,-0.841346
0.748,-0.833441
0.75,-0.825331
0.752,-0.817017
0.754,-0.808501
0.756,-0.799786
0.758,-0.790872
0.76,-0.781761
0.762,-0.772457
0.764,-0.76296
0.766,-0.753272
0.768,-0.743397
0.77,-0.733335
0.772,-0.72309
0.774,-0.712663
0.776,-0.702056
0.778,-0.691273
0.78,-0.680316
0.782,-0.669186
0.784,-0.657887
0.786,-0.64642
0.788,-0.63479
0.79,-0.622997
0.792,-0.611046
0.794,-0.598939
0.796,-0.586678
0.798,-0.574266
0.8,-0.561707
0.802,-0.549003
0.804,-0.536157
0.806,-0.523172
0.808,-0.510051
0.81,-0.496798
0.812,-0.483416
0.814,-0.469907
0.816,-0.456275
0.818,-0.442523
0.82,-0.428654
0.822,-0.414673
0.824,-0.400581
0.826,-0.386383
0.828,-0.372082
0.83,-0.357682
0.832,-0.343185
0.834,-0.328597
0.836,-0.313919
0.838,-0.299156
0.84,-0.284311
0.842,-0.269389
0.844,-0.254392
0.846,-0.239325
0.848,-0.224191
0.85,-0.208994
0.852,-0.193738
0.854,-0.178426
0.856,-0.163063
0.858,-0.147652
0.86,-0.132198
0.862,-0.116704
0.864,-0.101174
0.866,-0.0856117
0.868,-0.0700218
0.87,-0.054408
0.872,-0.0387742
0.874,-0.0231246
0.876,-0.00746299
0.878,0.00820641
0.88,0.0238796
0.882,0.0395525
0.884,0.0552209
0.886,0.070881
0.888,0.0865284
0.89,0.102159
0.892,0.117769
0.894,0.133354
0.896,0.148911
0.898,0.164434
0.9,0.179919
0.902,0.195364
0.904,0.210763
0.906,0.226112
0.908,0.241408
0.91,0.256646
0.912,0.271822
0.914,0.286932
0.916,0.301972
0.918,0.316937
0.92,0.331825
0.922,0.34663
0.924,0.361349
0.926,0.375978
0.928,0.390512
0.93,0.404948
0.932,0.419281
0.934,0.433509
0.936,0.447626
0.938,0.461628
0.94,0.475513
0.942,0.489276
0.944,0.502913
0.946,0.51642
0.948,0.529794
0.95,0.543031
0.952,0.556127
0.954,0.569078
0.956,0.58188
0.958,0.594531
0.96,0.607026
0.962,0.619362
0.964,0.631535
0.966,0.643542
0.968,0.655378
0.97,0.667042
0.972,0.678529
0.974,0.689836
0.976,0.70096
0.978,0.711897
0.98,0.722644
0.982,0.733198
0.984,0.743556
0.986,0.753715
0.988,0.763672
0.99,0.773423
0.992,0.782966
0.994,0.792298
0.996,0.801416
0.998,0.810317
1,0.818998
1.002,0.827457
1.004,0.835692
1.006,0.843699
1.008,0.851476
1.01,0.85902
1.012,0.86633
1.014,0.873403
1.016,0.880236
1.018,0.886827
1.02,0.893175
1.022,0.899277
1.024,0.905131
1.026,0.910735
1.028,0.916087
1.03,0.921186
1.032,0.926029
1.034,0.930616
1.036,0.934943
1.038,0.939011
1.04,0.942816
1.042,0.946359
1.044,0.949637
1.046,0.952649
1.048,0.955395
1.05,0.957872
1.052,0.96008
1.054,0.962018
1.056,0.963685
1.058,0.96508
1.06,0.966203
1.062,0.967052
1.064,0.967628
1.066,0.967929
1.068,0.967955
