Time - Fc (N),Amplitude - Fc (N)
7.638,-0.13374
7.64,-0.100757
7.642,-0.0675838
7.644,-0.0342832
7.646,-0.000917258
7.648,0.0324514
7.65,0.0657601
7.652,0.0989464
7.654,0.131948
7.656,0.164703
7.658,0.197149
7.66,0.229225
7.662,0.260871
7.664,0.292028
7.666,0.322635
7.668,0.352637
7.67,0.381975
7.672,0.410594
7.674,0.43844
7.676,0.46546
7.678,0.491603
7.68,0.516819
7.682,0.541061
7.684,0.564281
7.686,0.586436
7.688,0.607484
7.69,0.627384
7.692,0.646098
7.694,0.66359
7.696,0.679827
7.698,0.694777
7.7,0.708412
7.702,0.720706
7.704,0.731633
7.706,0.741174
7.708,0.749309
7.71,0.756023
7.712,0.761302
7.714,0.765136
7.716,0.767516
7.718,0.768438
7.72,0.7679
7.722,0.765901
7.724,0.762445
7.726,0.757538
7.728,0.751189
7.73,0.743409
7.732,0.734212
7.734,0.723616
7.736,0.711641
7.738,0.698307
7.74,0.683641
7.742,0.66767
7.744,0.650423
7.746,0.631934
7.748,0.612237
7.75,0.591369
7.752,0.56937
7.754,0.546281
7.756,0.522146
7.758,0.49701
7.76,0.470923
7.762,0.443932
7.764,0.416091
7.766,0.38745
7.768,0.358066
7.77,0.327994
7.772,0.297292
7.774,0.266019
7.776,0.234233
7.778,0.201997
7.78,0.169371
7.782,0.13642
7.784,0.103204
7.786,0.0697897
7.788,0.0362398
7.79,0.00261925
7.792,-0.0310072
7.794,-0.0645749
7.796,-0.0980189
7.798,-0.131275
7.8,-0.164278
7.802,-0.196966
7.804,-0.229274
7.806,-0.26114
7.808,-0.292502
7.81,-0.3233
7.812,-0.353474
7.814,-0.382965
7.816,-0.411716
7.818,-0.439671
7.82,-0.466775
7.822,-0.492976
7.824,-0.518222
7.826,-0.542465
7.828,-0.565656
7.83,-0.587751
7.832,-0.608706
7.834,-0.62848
7.836,-0.647034
7.838,-0.664332
7.84,-0.680339
7.842,-0.695024
7.844,-0.708358
7.846,-0.720314
7.848,-0.730869
7.85,-0.740002
7.852,-0.747693
7.854,-0.753928
7.856,-0.758694
7.858,-0.761981
7.86,-0.763782
7.862,-0.764093
7.864,-0.762912
7.866,-0.760243
7.868,-0.756088
7.87,-0.750455
7.872,-0.743356
7.874,-0.734803
7.876,-0.724813
7.878,-0.713405
7.88,-0.700599
7.882,-0.686422
7.884,-0.670899
7.886,-0.654062
7.888,-0.635942
7.89,-0.616574
7.892,-0.595997
7.894,-0.574249
7.896,-0.551374
7.898,-0.527415
7.9,-0.50242
7.902,-0.476436
7.904,-0.449516
7.906,-0.421711
7.908,-0.393075
7.91,-0.363665
7.912,-0.333538
7.914,-0.302754
7.916,-0.271373
7.918,-0.239456
7.92,-0.207066
7.922,-0.174267
7.924,-0.141123
7.926,-0.1077
7.928,-0.074064
7.93,-0.0402805
7.932,-0.00641666
7.934,0.0274607
7.936,0.0612845
7.938,0.0949879
7.94,0.128504
7.942,0.161767
7.944,0.19471
7.946,0.227268
7.948,0.259376
7.95,0.290971
7.952,0.32199
7.954,0.352371
7.956,0.382053
7.958,0.410977
7.96,0.439086
7.962,0.466323
7.964,0.492634
7.966,0.517966
7.968,0.542269
7.97,0.565493
7.972,0.587592
7.974,0.608522
7.976,0.628241
7.978,0.646708
7.98,0.663886
7.982,0.679742
7.984,0.694242
7.986,0.707357
7.988,0.71906
7.99,0.729328
7.992,0.738139
7.994,0.745476
7.996,0.751323
7.998,0.755667
8,0.7585
8.002,0.759816
8.004,0.75961
8.006,0.757883
8.008,0.754638
8.01,0.749881
8.012,0.743621
8.014,0.735869
8.016,0.726641
8.018,0.715954
8.02,0.70383
8.022,0.690292
8.024,0.675367
8.026,0.659085
8.028,0.641477
8.03,0.622579
8.032,0.602427
8.034,0.581063
8.036,0.558529
8.038,0.534869
8.04,0.510132
8.042,0.484365
8.044,0.457622
8.046,0.429955
8.048,0.40142
8.05,0.372074
8.052,0.341976
8.054,0.311187
8.056,0.279769
8.058,0.247784
8.06,0.215298
8.062,0.182375
8.064,0.149083
8.066,0.115489
8.068,0.08166
8.07,0.047665
8.072,0.0135726
8.074,-0.0205479
8.076,-0.0546274
8.078,-0.0885969
8.08,-0.122387
8.082,-0.15593
8.084,-0.189156
8.086,-0.221999
8.088,-0.254392
8.09,-0.286268
8.092,-0.317563
8.094,-0.348212
8.096,-0.378153
8.098,-0.407325
8.1,-0.435668
8.102,-0.463124
8.104,-0.489637
8.106,-0.515152
8.108,-0.539617
8.11,-0.562982
8.112,-0.585198
8.114,-0.60622
8.116,-0.626005
8.118,-0.64451
8.12,-0.6617
8.122,-0.677536
8.124,-0.691987
8.126,-0.705023
8.128,-0.716616
8.13,-0.726742
8.132,-0.73538
8.134,-0.742512
8.136,-0.748122
8.138,-0.752198
8.14,-0.754731
8.142,-0.755717
8.144,-0.755151
8.146,-0.753034
8.148,-0.749371
8.15,-0.744168
8.152,-0.737436
8.154,-0.729187
8.156,-0.719438
8.158,-0.708209
8.16,-0.695522
8.162,-0.681403
8.164,-0.66588
8.166,-0.648985
8.168,-0.630751
8.17,-0.611217
8.172,-0.590422
8.174,-0.568408
8.176,-0.545221
8.178,-0.520907
8.18,-0.495517
8.182,-0.469102
8.184,-0.441718
8.186,-0.413419
8.188,-0.384265
8.19,-0.354316
8.192,-0.323632
8.194,-0.292278
8.196,-0.260318
8.198,-0.227817
8.2,-0.194844
8.202,-0.161467
8.204,-0.127754
8.206,-0.0937749
8.208,-0.0596009
8.21,-0.0253025
8.212,0.00904905
8.214,0.0433824
8.216,0.0776261
8.218,0.111709
8.22,0.14556
8.222,0.179109
8.224,0.212285
8.226,0.24502
8.228,0.277245
8.23,0.308893
8.232,0.339898
8.234,0.370194
8.236,0.399719
8.238,0.428409
8.24,0.456206
8.242,0.483051
8.244,0.508887
8.246,0.53366
8.248,0.557318
8.25,0.579811
8.252,0.601091
8.254,0.621114
8.256,0.639837
8.258,0.65722
8.26,0.673227
8.262,0.687823
8.264,0.700977
8.266,0.712662
8.268,0.722852
8.27,0.731524
8.272,0.738662
8.274,0.744248
8.276,0.748271
8.278,0.750721
8.28,0.751594
8.282,0.750885
8.284,0.748597
8.286,0.744734
8.288,0.739303
8.29,0.732314
8.292,0.723783
8.294,0.713726
8.296,0.702165
8.298,0.689123
8.3,0.674626
8.302,0.658706
8.304,0.641395
8.306,0.622729
8.308,0.602747
8.31,0.581491
8.312,0.559006
8.314,0.535337
8.316,0.510537
8.318,0.484655
8.32,0.457747
8.322,0.429869
8.324,0.40108
8.326,0.37144
8.328,0.341013
8.33,0.309862
8.332,0.278053
8.334,0.245654
8.336,0.212733
8.338,0.179359
8.34,0.145604
8.342,0.111539
8.344,0.0772365
8.346,0.0427692
8.348,0.00821041
8.35,-0.0263663
8.352,-0.0608875
8.354,-0.0952794
8.356,-0.129469
8.358,-0.163383
8.36,-0.196949
8.362,-0.230096
8.364,-0.262752
8.366,-0.294848
8.368,-0.326315
8.37,-0.357085
8.372,-0.387093
8.374,-0.416274
8.376,-0.444566
8.378,-0.471907
8.38,-0.49824
8.382,-0.523506
8.384,-0.547652
8.386,-0.570625
8.388,-0.592377
8.39,-0.612859
8.392,-0.632027
8.394,-0.649841
8.396,-0.666261
8.398,-0.681251
8.4,-0.694779
8.402,-0.706815
8.404,-0.717332
8.406,-0.726309
8.408,-0.733724
8.41,-0.739561
8.412,-0.743808
8.414,-0.746454
8.416,-0.747493
8.418,-0.746923
8.42,-0.744743
8.422,-0.740959
8.424,-0.735577
8.426,-0.728609
8.428,-0.720069
8.43,-0.709975
8.432,-0.698349
8.434,-0.685214
8.436,-0.670599
8.438,-0.654535
8.44,-0.637055
8.442,-0.618198
8.444,-0.598004
8.446,-0.576515
8.448,-0.553778
8.45,-0.529841
8.452,-0.504757
8.454,-0.478578
8.456,-0.451362
8.458,-0.423167
8.46,-0.394054
8.462,-0.364085
8.464,-0.333325
8.466,-0.301841
8.468,-0.269702
8.47,-0.236976
8.472,-0.203734
8.474,-0.170049
8.476,-0.135994
8.478,-0.101643
8.48,-0.0670697
8.482,-0.0323502
8.484,0.00244017
8.486,0.0372256
8.488,0.0719303
8.49,0.106479
8.492,0.140795
8.494,0.174804
8.496,0.208433
8.498,0.241606
8.5,0.274253
8.502,0.3063
8.504,0.337679
8.506,0.368319
8.508,0.398154
8.51,0.427119
8.512,0.455148
8.514,0.482182
8.516,0.50816
8.518,0.533025
8.52,0.556722
8.522,0.579198
8.524,0.600405
8.526,0.620294
8.528,0.638823
8.53,0.655949
8.532,0.671634
8.534,0.685845
8.536,0.698548
8.538,0.709715
8.54,0.719322
8.542,0.727347
8.544,0.733771
8.546,0.738579
8.548,0.741762
8.55,0.74331
8.552,0.74322
8.554,0.741492
8.556,0.738128
8.558,0.733136
8.56,0.726527
8.562,0.718313
8.564,0.708513
8.566,0.697148
8.568,0.684243
8.57,0.669824
8.572,0.653925
8.574,0.636578
8.576,0.617823
8.578,0.597701
8.58,0.576254
8.582,0.553531
8.584,0.529581
8.586,0.504457
8.588,0.478215
8.59,0.450911
8.592,0.422607
8.594,0.393364
8.596,0.363248
8.598,0.332324
8.6,0.300662
8.602,0.268332
8.604,0.235404
8.606,0.201953
8.608,0.168052
8.61,0.133777
8.612,0.0992036
8.614,0.064409
8.616,0.0294706
8.618,-0.00553378
8.62,-0.0405261
8.622,-0.0754283
8.624,-0.110163
8.626,-0.144651
8.628,-0.178817
8.63,-0.212584
8.632,-0.245877
8.634,-0.27862
8.636,-0.31074
8.638,-0.342166
8.64,-0.372827
8.642,-0.402653
8.644,-0.431579
8.646,-0.459538
8.648,-0.486468
8.65,-0.512308
8.652,-0.537
8.654,-0.560488
8.656,-0.582719
8.658,-0.603642
8.66,-0.623211
8.662,-0.64138
8.664,-0.658109
8.666,-0.67336
8.668,-0.687097
8.67,-0.699289
8.672,-0.709908
8.674,-0.71893
8.676,-0.726334
8.678,-0.732103
8.68,-0.736222
8.682,-0.738684
8.684,-0.73948
8.686,-0.738609
8.688,-0.736072
8.69,-0.731875
8.692,-0.726025
8.694,-0.718537
8.696,-0.709426
8.698,-0.698712
8.7,-0.686419
8.702,-0.672574
8.704,-0.657208
8.706,-0.640355
8.708,-0.622053
8.71,-0.602343
8.712,-0.581268
8.714,-0.558877
8.716,-0.535219
8.718,-0.510348
8.72,-0.484319
8.722,-0.457191
8.724,-0.429026
8.726,-0.399887
8.728,-0.36984
8.73,-0.338952
8.732,-0.307294
8.734,-0.274938
8.736,-0.241956
8.738,-0.208424
8.74,-0.174417
8.742,-0.140013
8.744,-0.10529
8.746,-0.0703271
8.748,-0.0352038
8.75,0
8.752,0.035204
8.754,0.0703278
8.756,0.105291
8.758,0.140015
8.76,0.174419
8.762,0.208425
8.764,0.241955
8.766,0.274932
8.768,0.307281
8.77,0.338928
8.772,0.369799
8.774,0.399824
8.776,0.428934
8.778,0.457062
8.78,0.484144
8.782,0.510116
8.784,0.534919
8.786,0.558495
8.788,0.580791
8.79,0.601754
8.792,0.621336
8.794,0.639492
8.796,0.656178
8.798,0.671358
8.8,0.684994
8.802,0.697056
8.804,0.707515
8.806,0.716345
8.808,0.723528
8.81,0.729045
8.812,0.732882
8.814,0.735032
8.816,0.735487
8.818,0.734248
8.82,0.731315
8.822,0.726694
8.824,0.720397
8.826,0.712438
8.828,0.702832
8.83,0.691604
8.832,0.678777
8.834,0.664382
8.836,0.64845
8.838,0.631018
8.84,0.612126
8.842,0.591817
8.844,0.570138
8.846,0.547138
8.848,0.522871
8.85,0.497392
8.852,0.470759
8.854,0.443035
8.856,0.414283
8.858,0.384569
8.86,0.353962
8.862,0.322533
8.864,0.290355
8.866,0.257502
8.868,0.224051
8.87,0.190078
8.872,0.155663
8.874,0.120886
8.876,0.0858268
8.878,0.050568
8.88,0.0151913
8.882,-0.0202209
8.884,-0.055586
8.886,-0.0908216
8.888,-0.125846
8.89,-0.160576
8.892,-0.194932
8.894,-0.228832
8.896,-0.262199
8.898,-0.294953
8.9,-0.327017
8.902,-0.358317
8.904,-0.38878
8.906,-0.418333
8.908,-0.446907
8.91,-0.474435
8.912,-0.500852
8.914,-0.526096
8.916,-0.550107
8.918,-0.572829
8.92,-0.594207
8.922,-0.614192
8.924,-0.632736
8.926,-0.649795
8.928,-0.665328
8.93,-0.679299
8.932,-0.691673
8.934,-0.702422
8.936,-0.71152
8.938,-0.718944
8.94,-0.724677
8.942,-0.728705
8.944,-0.731017
8.946,-0.731607
8.948,-0.730474
8.95,-0.72762
8.952,-0.72305
8.954,-0.716776
8.956,-0.708811
8.958,-0.699173
8.96,-0.687885
8.962,-0.674973
8.964,-0.660466
8.966,-0.644399
8.968,-0.626809
8.97,-0.607736
8.972,-0.587227
8.974,-0.565328
8.976,-0.542091
8.978,-0.517571
8.98,-0.491825
8.982,-0.464914
8.984,-0.436901
8.986,-0.407853
8.988,-0.377837
8.99,-0.346925
8.992,-0.31519
8.994,-0.282706
8.996,-0.249551
8.998,-0.215804
9,-0.181544
9.002,-0.146852
9.004,-0.111811
9.006,-0.0765039
9.008,-0.041015
9.01,-0.0054284
9.012,0.0301711
9.014,0.0656988
9.016,0.10107
9.018,0.1362
9.02,0.171006
9.022,0.205404
9.024,0.239311
9.026,0.272648
9.028,0.305334
9.03,0.337291
9.032,0.368442
9.034,0.398713
9.036,0.428031
9.038,0.456325
9.04,0.483528
9.042,0.509575
9.044,0.534401
9.046,0.557948
9.048,0.580159
9.05,0.60098
9.052,0.620361
9.054,0.638255
9.056,0.654618
9.058,0.66941
9.06,0.682597
9.062,0.694145
9.064,0.704026
9.066,0.712216
9.068,0.718694
9.07,0.723446
9.072,0.726458
9.074,0.727722
9.076,0.727236
9.078,0.725
9.08,0.721018
9.082,0.7153
9.084,0.707858
9.086,0.698711
9.088,0.687879
9.09,0.675389
9.092,0.661269
9.094,0.645554
9.096,0.628281
9.098,0.60949
9.1,0.589227
9.102,0.567541
9.104,0.544483
9.106,0.520109
9.108,0.494477
9.11,0.467648
9.112,0.439688
9.114,0.410664
9.116,0.380644
9.118,0.349703
9.12,0.317915
9.122,0.285356
9.124,0.252105
9.126,0.218242
9.128,0.183851
9.13,0.149013
9.132,0.113813
9.134,0.0783365
9.136,0.0426701
9.138,0.00690007
9.14,-0.0288867
9.142,-0.064603
9.144,-0.100162
9.146,-0.135477
9.148,-0.170463
9.15,-0.205033
9.152,-0.239104
9.154,-0.272592
9.156,-0.305415
9.158,-0.337494
9.16,-0.368749
9.162,-0.399104
9.164,-0.428486
9.166,-0.456821
9.168,-0.48404
9.17,-0.510076
9.172,-0.534866
9.174,-0.558349
9.176,-0.580465
9.178,-0.601162
9.18,-0.620387
9.182,-0.638094
9.184,-0.654238
9.186,-0.66878
9.188,-0.681683
9.19,-0.692915
9.192,-0.702448
9.194,-0.710258
9.196,-0.716325
9.198,-0.720635
9.2,-0.723175
9.202,-0.723939
9.204,-0.722924
9.206,-0.720134
9.208,-0.715572
9.21,-0.709252
9.212,-0.701186
9.214,-0.691395
9.216,-0.679903
9.218,-0.666736
9.22,-0.651928
9.222,-0.635513
9.224,-0.617532
9.226,-0.598028
9.228,-0.57705
9.23,-0.554648
9.232,-0.530877
9.234,-0.505796
9.236,-0.479466
9.238,-0.451952
9.24,-0.423321
9.242,-0.393644
9.244,-0.362994
9.246,-0.331446
9.248,-0.299078
9.25,-0.26597
9.252,-0.232204
9.254,-0.197862
9.256,-0.163031
9.258,-0.127796
9.26,-0.0922441
9.262,-0.0564638
9.264,-0.0205435
9.266,0.0154276
9.268,0.0513602
9.27,0.0871651
9.272,0.122753
9.274,0.158036
9.276,0.192926
9.278,0.227337
9.28,0.261181
9.282,0.294376
9.284,0.326838
9.286,0.358486
9.288,0.389241
9.29,0.419027
9.292,0.447768
9.294,0.475393
9.296,0.501832
9.298,0.527019
9.3,0.550892
9.302,0.573389
9.304,0.594455
9.306,0.614036
9.308,0.632082
9.31,0.648549
9.312,0.663395
9.314,0.676582
9.316,0.688076
9.318,0.697848
9.32,0.705873
9.322,0.712131
9.324,0.716605
9.326,0.719284
9.328,0.72016
9.33,0.71923
9.332,0.716497
9.334,0.711966
9.336,0.705648
9.338,0.697559
9.34,0.687719
9.342,0.676151
9.344,0.662884
9.346,0.647951
9.348,0.631388
9.35,0.613238
9.352,0.593545
9.354,0.572359
9.356,0.549731
9.358,0.52572
9.36,0.500384
9.362,0.473787
9.364,0.445996
9.366,0.417081
9.368,0.387113
9.37,0.35617
9.372,0.324327
9.374,0.291666
9.376,0.258268
9.378,0.224218
9.38,0.189602
9.382,0.154506
9.384,0.11902
9.386,0.0832336
9.388,0.0472365
9.39,0.0111201
9.392,-0.0250242
9.394,-0.0611049
9.396,-0.0970304
9.398,-0.13271
9.4,-0.168052
9.402,-0.202969
9.404,-0.237369
9.406,-0.271168
9.408,-0.304277
9.41,-0.336614
9.412,-0.368095
9.414,-0.398641
9.416,-0.428173
9.418,-0.456617
9.42,-0.483898
9.422,-0.509949
9.424,-0.534701
9.426,-0.558092
9.428,-0.580061
9.43,-0.600552
9.432,-0.619513
9.434,-0.636894
9.436,-0.652651
9.438,-0.666743
9.44,-0.679134
9.442,-0.689791
9.444,-0.698687
9.446,-0.705799
9.448,-0.711107
9.45,-0.714598
9.452,-0.716262
9.454,-0.716094
9.456,-0.714094
9.458,-0.710267
9.46,-0.704622
9.462,-0.697173
9.464,-0.687938
9.466,-0.676941
9.468,-0.664209
9.47,-0.649774
9.472,-0.633673
9.474,-0.615946
9.476,-0.596639
9.478,-0.5758
9.48,-0.553483
9.482,-0.529744
9.484,-0.504645
9.486,-0.478248
9.488,-0.450622
9.49,-0.421838
9.492,-0.391968
9.494,-0.36109
9.496,-0.329283
9.498,-0.296628
9.5,-0.263209
9.502,-0.229112
9.504,-0.194425
9.506,-0.159237
9.508,-0.123639
9.51,-0.087722
9.512,-0.0515789
9.514,-0.0153031
9.516,0.021012
9.518,0.0572724
9.52,0.0933844
9.522,0.129255
9.524,0.16479
9.526,0.199899
9.528,0.234491
9.53,0.268475
9.532,0.301764
9.534,0.334271
9.536,0.365911
9.538,0.396603
9.54,0.426267
9.542,0.454825
9.544,0.482202
9.546,0.508328
9.548,0.533135
9.55,0.556557
9.552,0.578533
9.554,0.599006
9.556,0.617921
9.558,0.635231
9.56,0.650888
9.562,0.664851
9.564,0.677085
9.566,0.687556
9.568,0.696236
9.57,0.703103
9.572,0.708138
9.574,0.711327
9.576,0.712662
9.578,0.712138
9.58,0.709756
9.582,0.705522
9.584,0.699447
9.586,0.691545
9.588,0.681837
9.59,0.670347
9.592,0.657105
9.594,0.642146
9.596,0.625507
9.598,0.607232
9.6,0.587368
9.602,0.565967
9.604,0.543084
9.606,0.518779
9.608,0.493114
9.61,0.466158
9.612,0.437979
9.614,0.408652
9.616,0.378254
9.618,0.346863
9.62,0.314561
9.622,0.281434
9.624,0.247569
9.626,0.213053
9.628,0.177977
9.63,0.142434
9.632,0.106517
9.634,0.0703197
9.636,0.033938
9.638,-0.00253266
9.64,-0.0389962
9.642,-0.0753565
9.644,-0.111518
9.646,-0.147385
9.648,-0.182863
9.65,-0.217858
9.652,-0.252277
9.654,-0.286031
9.656,-0.319029
9.658,-0.351184
9.66,-0.382411
9.662,-0.412627
9.664,-0.441752
9.666,-0.469708
9.668,-0.496422
9.67,-0.521822
9.672,-0.545841
9.674,-0.568414
9.676,-0.589481
9.678,-0.608986
9.68,-0.626878
9.682,-0.643107
9.684,-0.657631
9.686,-0.670411
9.688,-0.681411
9.69,-0.690603
9.692,-0.697961
9.694,-0.703465
9.696,-0.707101
9.698,-0.708857
9.7,-0.708729
9.702,-0.706716
9.704,-0.702824
9.706,-0.697062
9.708,-0.689444
9.71,-0.679991
9.712,-0.668727
9.714,-0.655681
9.716,-0.640889
9.718,-0.624388
9.72,-0.606223
9.722,-0.58644
9.724,-0.565094
9.726,-0.542239
9.728,-0.517937
9.73,-0.492252
9.732,-0.465252
9.734,-0.437009
9.736,-0.407598
9.738,-0.377098
9.74,-0.34559
9.742,-0.313157
9.744,-0.279887
9.746,-0.245868
9.748,-0.211191
9.75,-0.175948
9.752,-0.140235
9.754,-0.104146
9.756,-0.067778
9.758,-0.031229
9.76,0.00540321
9.762,0.0420204
9.764,0.0785242
9.766,0.114817
9.768,0.1508
9.77,0.186378
9.772,0.221454
9.774,0.255934
9.776,0.289725
9.778,0.322736
9.78,0.354878
9.782,0.386064
9.784,0.416209
9.786,0.445233
9.788,0.473057
9.79,0.499605
9.792,0.524806
9.794,0.54859
9.796,0.570894
9.798,0.591657
9.8,0.610822
9.802,0.628337
9.804,0.644154
9.806,0.65823
9.808,0.670527
9.81,0.68101
9.812,0.689651
9.814,0.696426
9.816,0.701316
9.818,0.704307
9.82,0.705391
9.822,0.704563
9.824,0.701827
9.826,0.697188
9.828,0.690658
9.83,0.682255
9.832,0.672001
9.834,0.659924
9.836,0.646055
9.838,0.630432
9.84,0.613096
9.842,0.594094
9.844,0.573478
9.846,0.551303
9.848,0.527629
9.85,0.502519
9.852,0.476043
9.854,0.44827
9.856,0.419278
9.858,0.389143
9.86,0.357949
9.862,0.325779
9.864,0.292722
9.866,0.258867
9.868,0.224306
9.87,0.189134
9.872,0.153445
9.874,0.117339
9.876,0.0809122
9.878,0.0442651
9.88,0.00749762
9.882,-0.0292897
9.884,-0.0659963
9.886,-0.102522
9.888,-0.138766
9.89,-0.17463
9.892,-0.210015
9.894,-0.244824
9.896,-0.278961
9.898,-0.312333
9.9,-0.344849
9.902,-0.376418
9.904,-0.406954
9.906,-0.436372
9.908,-0.464592
9.91,-0.491536
9.912,-0.517129
9.914,-0.5413
9.916,-0.563984
9.918,-0.585116
9.92,-0.604639
9.922,-0.622498
9.924,-0.638644
9.926,-0.653031
9.928,-0.66562
9.93,-0.676375
9.932,-0.685267
9.934,-0.692269
9.936,-0.697363
9.938,-0.700534
9.94,-0.701772
9.942,-0.701073
9.944,-0.698439
9.946,-0.693877
9.948,-0.687398
9.95,-0.67902
9.952,-0.668766
9.954,-0.656663
9.956,-0.642744
9.958,-0.627048
9.96,-0.609616
9.962,-0.590498
9.964,-0.569745
9.966,-0.547414
9.968,-0.523567
9.97,-0.49827
9.972,-0.471591
9.974,-0.443606
9.976,-0.41439
9.978,-0.384025
9.98,-0.352595
9.982,-0.320186
9.984,-0.286889
9.986,-0.252796
9.988,-0.218
9.99,-0.182599
9.992,-0.146691
9.994,-0.110376
9.996,-0.0737546
9.998,-0.0369283
10,0
10.002,0.0369276
10.004,0.0737517
10.006,0.110369
10.008,0.146679
10.01,0.182579
10.012,0.217969
10.014,0.25275
10.016,0.286824
10.018,0.320098
10.02,0.352477
10.022,0.383871
10.024,0.414191
10.026,0.443353
10.028,0.471275
10.03,0.497879
10.032,0.523089
10.034,0.546834
10.036,0.569049
10.038,0.589669
10.04,0.608637
10.042,0.6259
10.044,0.641408
10.046,0.655117
10.048,0.666989
10.05,0.67699
10.052,0.68509
10.054,0.691268
10.056,0.695504
10.058,0.697786
10.06,0.698109
10.062,0.696469
10.064,0.692871
10.066,0.687325
10.068,0.679845
10.07,0.670453
10.072,0.659173
10.074,0.646038
10.076,0.631084
10.078,0.614352
10.08,0.595889
10.082,0.575747
10.084,0.553982
10.086,0.530654
10.088,0.50583
10.09,0.479578
10.092,0.451974
10.094,0.423093
10.096,0.393018
10.098,0.361833
10.1,0.329625
10.102,0.296486
10.104,0.26251
10.106,0.227791
10.108,0.192429
10.11,0.156522
10.112,0.120174
10.114,0.0834849
10.116,0.0465606
10.118,0.00950505
10.12,-0.0275766
10.122,-0.0645793
10.124,-0.101398
10.126,-0.137928
10.128,-0.174066
10.13,-0.209709
10.132,-0.244755
10.134,-0.279105
10.136,-0.312662
10.138,-0.345328
10.14,-0.377012
10.142,-0.407623
10.144,-0.437073
10.146,-0.465278
10.148,-0.492158
10.15,-0.517636
10.152,-0.541639
10.154,-0.564097
10.156,-0.584947
10.158,-0.604129
10.16,-0.621586
10.162,-0.63727
10.164,-0.651135
10.166,-0.663141
10.168,-0.673252
10.17,-0.68144
10.172,-0.687681
10.174,-0.691956
10.176,-0.694252
10.178,-0.694562
10.18,-0.692886
10.182,-0.689226
10.184,-0.683594
10.186,-0.676004
10.188,-0.666478
10.19,-0.655043
10.192,-0.64173
10.194,-0.626578
10.196,-0.60963
10.198,-0.590933
10.2,-0.57054
10.202,-0.548511
10.204,-0.524907
10.206,-0.499796
10.208,-0.473249
10.21,-0.445344
10.212,-0.416158
10.214,-0.385777
10.216,-0.354286
10.218,-0.321777
10.22,-0.288343
10.222,-0.254079
10.224,-0.219084
10.226,-0.183459
10.228,-0.147306
10.23,-0.11073
10.232,-0.0738345
10.234,-0.0367274
10.236,0.000484833
10.238,0.0376948
10.24,0.074795
10.242,0.111678
10.244,0.148238
10.246,0.184369
10.248,0.219966
10.25,0.254926
10.252,0.289148
10.254,0.322533
10.256,0.354984
10.258,0.386406
10.26,0.416709
10.262,0.445804
10.264,0.473607
10.266,0.500037
10.268,0.525016
10.27,0.548473
10.272,0.570338
10.274,0.590547
10.276,0.609042
10.278,0.625769
10.28,0.640677
10.282,0.653725
10.284,0.664872
10.286,0.674086
10.288,0.68134
10.29,0.686613
10.292,0.689887
10.294,0.691154
10.296,0.690409
10.298,0.687654
10.3,0.682895
10.302,0.676147
10.304,0.667429
10.306,0.656765
10.308,0.644185
10.31,0.629728
10.312,0.613432
10.314,0.595347
10.316,0.575524
10.318,0.55402
10.32,0.530899
10.322,0.506227
10.324,0.480075
10.326,0.45252
10.328,0.423643
10.33,0.393527
10.332,0.362259
10.334,0.329932
10.336,0.29664
10.338,0.262479
10.34,0.227551
10.342,0.191956
10.344,0.155799
10.346,0.119187
10.348,0.0822251
10.35,0.0450234
10.352,0.00769049
10.354,-0.0296641
10.356,-0.0669305
10.358,-0.103999
10.36,-0.140762
10.362,-0.177109
10.364,-0.212935
10.366,-0.248133
10.368,-0.282601
10.37,-0.316235
10.372,-0.348938
10.374,-0.380613
10.376,-0.411165
10.378,-0.440505
10.38,-0.468546
10.382,-0.495204
10.384,-0.520402
10.386,-0.544063
10.388,-0.566118
10.39,-0.586501
10.392,-0.605152
10.394,-0.622015
10.396,-0.63704
10.398,-0.650182
10.4,-0.661401
10.402,-0.670664
10.404,-0.677943
10.406,-0.683215
10.408,-0.686466
10.41,-0.687683
10.412,-0.686865
10.414,-0.684011
10.416,-0.67913
10.418,-0.672237
10.42,-0.66335
10.422,-0.652497
10.424,-0.639707
10.426,-0.62502
10.428,-0.608477
10.43,-0.590128
10.432,-0.570027
10.434,-0.548233
10.436,-0.52481
10.438,-0.499827
10.44,-0.473358
10.442,-0.445483
10.444,-0.416282
10.446,-0.385843
10.448,-0.354256
10.45,-0.321615
10.452,-0.288017
10.454,-0.253561
10.456,-0.21835
10.458,-0.18249
10.46,-0.146086
10.462,-0.109247
10.464,-0.0720835
10.466,-0.0347055
10.468,0.00277495
10.47,0.0402461
10.472,0.077596
10.474,0.114713
10.476,0.151486
10.478,0.187805
10.48,0.223561
10.482,0.258647
10.484,0.292958
10.486,0.32639
10.488,0.358845
10.49,0.390223
10.492,0.420431
10.494,0.449378
10.496,0.476977
10.498,0.503144
10.5,0.527802
10.502,0.550874
10.504,0.572292
10.506,0.591991
10.508,0.609911
10.51,0.625998
10.512,0.640203
10.514,0.652484
10.516,0.662801
10.518,0.671125
10.52,0.677428
10.522,0.681693
10.524,0.683905
10.526,0.684058
10.528,0.682149
10.53,0.678185
10.532,0.672177
10.534,0.664142
10.536,0.654105
10.538,0.642094
10.54,0.628146
10.542,0.612302
10.544,0.59461
10.546,0.575122
10.548,0.553897
10.55,0.530999
10.552,0.506496
10.554,0.480462
10.556,0.452976
10.558,0.42412
10.56,0.393981
10.562,0.36265
10.564,0.330221
