"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,0,0.006,0,0.006,0
0.008,2.20E-06,0.008,0,0.008,0
0.01,2.20E-06,0.01,0,0.01,0
0.012,4.39E-06,0.012,0,0.012,0
0.014,6.59E-06,0.014,0,0.014,0
0.016,1.32E-05,0.016,0,0.016,0
0.018,2.86E-05,0.018,0,0.018,0
0.02,5.27E-05,0.02,0,0.02,0
0.022,0.000129641,0.022,4.87E-06,0.022,4.87E-06
0.024,0.000235111,0.024,1.46E-05,0.024,1.46E-05
0.026,0.000294438,0.026,1.95E-05,0.026,1.95E-05
0.028,0.000347173,0.028,1.95E-05,0.028,1.95E-05
0.03,0.000384528,0.03,1.95E-05,0.03,1.95E-05
0.032,0.00041529,0.032,1.46E-05,0.032,1.46E-05
0.034,0.000441657,0.034,1.46E-05,0.034,1.46E-05
0.036,0.000492195,0.036,1.95E-05,0.036,1.95E-05
0.038,0.000591074,0.038,3.90E-05,0.038,3.90E-05
0.04,0.000628428,0.04,4.38E-05,0.04,4.38E-05
0.042,0.00065919,0.042,4.87E-05,0.042,4.87E-05
0.044,0.000681163,0.044,5.36E-05,0.044,5.36E-05
0.046,0.000700939,0.046,5.84E-05,0.046,5.84E-05
0.048,0.000791028,0.048,8.77E-05,0.048,7.82E-05
0.05,0.000830579,0.05,9.74E-05,0.05,8.80E-05
0.052,0.000872328,0.052,0.00011689,0.052,0.000107465
0.054,0.000909682,0.054,0.000136371,0.054,0.000117522
0.056,0.000944839,0.056,0.000155853,0.056,0.000137003
0.058,0.0010613,0.058,0.000214298,0.058,0.000186023
0.06,0.00110304,0.06,0.00023865,0.06,0.000210375
0.062,0.0011382,0.062,0.000263002,0.062,0.000225302
0.064,0.00116237,0.064,0.000287354,0.064,0.000249654
0.066,0.00118654,0.066,0.000311706,0.066,0.000264582
0.068,0.00127663,0.068,0.000379891,0.068,0.000304493
0.07,0.00131179,0.07,0.000409114,0.07,0.00032429
0.072,0.00134694,0.072,0.000443206,0.072,0.000348958
0.074,0.00137771,0.074,0.000477299,0.074,0.000373626
0.076,0.00140847,0.076,0.000511392,0.076,0.000398294
0.078,0.00147439,0.078,0.000579578,0.078,0.000438206
0.08,0.00155349,0.08,0.000657504,0.08,0.000497282
0.082,0.00159085,0.082,0.000696467,0.082,0.000517396
0.084,0.0016238,0.084,0.000740301,0.084,0.000551805
0.086,0.00165017,0.086,0.000784134,0.086,0.000586214
0.088,0.00167654,0.088,0.000827968,0.088,0.000620622
0.09,0.00174246,0.09,0.000920506,0.09,0.000684886
0.092,0.00182156,0.092,0.00102278,0.092,0.000777739
0.094,0.00186771,0.094,0.00107636,0.094,0.000821889
0.096,0.00190506,0.096,0.00112993,0.096,0.000866038
0.098,0.00193362,0.098,0.00117864,0.098,0.000914742
0.1,0.00196219,0.1,0.00122247,0.1,0.000958576
0.102,0.00201932,0.102,0.00131014,0.102,0.00104624
0.104,0.00208084,0.104,0.00140268,0.104,0.00113878
0.106,0.0021138,0.106,0.00144651,0.106,0.00118261
0.108,0.00214017,0.108,0.00149034,0.108,0.00122645
0.11,0.00216214,0.11,0.00153905,0.11,0.00127515
0.112,0.00218631,0.112,0.00157801,0.112,0.00131412
0.114,0.00224344,0.114,0.00167055,0.114,0.00140665
0.116,0.00231595,0.116,0.00176308,0.116,0.00149919
0.118,0.00235331,0.118,0.00181666,0.118,0.00155276
0.12,0.00238627,0.12,0.00187023,0.12,0.00160634
0.122,0.00241264,0.122,0.00192381,0.122,0.00165991
