"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,2.20E-06,0.006,0,0.006,0
0.008,4.39E-06,0.008,0,0.008,0
0.01,8.79E-06,0.01,0,0.01,0
0.012,1.54E-05,0.012,0,0.012,0
0.014,2.86E-05,0.014,0,0.014,0
0.016,4.83E-05,0.016,0,0.016,0
0.018,7.03E-05,0.018,0,0.018,0
0.02,9.23E-05,0.02,0,0.02,0
0.022,0.000131838,0.022,4.87E-06,0.022,4.87E-06
0.024,0.000182376,0.024,9.74E-06,0.024,9.74E-06
0.026,0.000217533,0.026,9.74E-06,0.026,9.74E-06
0.028,0.000254887,0.028,9.74E-06,0.028,9.74E-06
0.03,0.000290044,0.03,9.74E-06,0.03,9.74E-06
0.032,0.000331792,0.032,9.74E-06,0.032,9.74E-06
0.034,0.000373541,0.034,9.74E-06,0.034,3.16E-07
0.036,0.00047242,0.036,1.95E-05,0.036,6.32E-07
0.038,0.000617441,0.038,4.38E-05,0.038,-1.27E-05
0.04,0.00065919,0.04,5.36E-05,0.04,-2.18E-05
0.042,0.00068336,0.042,6.33E-05,0.042,-2.15E-05
0.044,0.000687755,0.044,7.31E-05,0.044,-3.06E-05
0.046,0.000694347,0.046,8.77E-05,0.046,-3.49E-05
0.048,0.000777844,0.048,0.000131501,0.048,-4.76E-05
0.05,0.000819593,0.05,0.000155853,0.05,-5.15E-05
0.052,0.000852552,0.052,0.000185075,0.052,-4.11E-05
0.054,0.000881117,0.054,0.000219168,0.054,-3.53E-05
0.056,0.00091188,0.056,0.00024839,0.056,-3.44E-05
0.058,0.000995377,0.058,0.000301965,0.058,-2.79E-05
0.06,0.00109865,0.06,0.00036041,0.06,-1.66E-05
0.062,0.00114479,0.062,0.000399373,0.062,-5.89E-06
0.064,0.00117336,0.064,0.000438336,0.064,1.42E-05
0.066,0.00118654,0.066,0.000477299,0.066,3.43E-05
0.068,0.00119973,0.068,0.000511392,0.068,4.96E-05
0.07,0.0012239,0.07,0.000540614,0.07,5.99E-05
0.072,0.001303,0.072,0.000589318,0.072,6.15E-05
0.074,0.0013799,0.074,0.000652634,0.074,7.77E-05
0.076,0.00141506,0.076,0.000691597,0.076,9.78E-05
0.078,0.00144582,0.078,0.00072569,0.078,0.000113078
0.08,0.00147439,0.08,0.000754912,0.08,0.000132875
0.082,0.00150735,0.082,0.000779264,0.082,0.000147802
0.084,0.0015447,0.084,0.000798746,0.084,0.000157859
0.086,0.00161941,0.086,0.000862061,0.086,0.000202325
0.088,0.00173147,0.088,0.000988691,0.088,0.000300681
0.09,0.00177102,0.09,0.00102278,0.09,0.000334774
0.092,0.00180179,0.092,0.00105688,0.092,0.000359442
0.094,0.00181717,0.094,0.0010861,0.094,0.000388664
0.096,0.00183035,0.096,0.00112019,0.096,0.000422757
0.098,0.00190506,0.098,0.00122247,0.098,0.00051561
0.1,0.00193143,0.1,0.00126143,0.1,0.000554574
0.102,0.0019556,0.102,0.0013004,0.102,0.000593537
0.104,0.00197757,0.104,0.00133449,0.104,0.00062763
0.106,0.00200394,0.106,0.00137345,0.106,0.000666593
0.108,0.00207205,0.108,0.00143677,0.108,0.000729908
0.11,0.00214017,0.11,0.00151469,0.11,0.000807834
0.112,0.00217313,0.112,0.00155366,0.112,0.000846798
0.114,0.0021995,0.114,0.00159262,0.114,0.000885761
0.116,0.00222586,0.116,0.00162671,0.116,0.000919854
0.118,0.00225223,0.118,0.00165594,0.118,0.000949076
0.12,0.00231815,0.12,0.00172412,0.12,0.00101726
