"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,0,0.006,0,0.006,0
0.008,2.20E-06,0.008,0,0.008,0
0.01,2.20E-06,0.01,0,0.01,0
0.012,6.59E-06,0.012,0,0.012,0
0.014,1.10E-05,0.014,0,0.014,0
0.016,2.20E-05,0.016,0,0.016,0
0.018,3.96E-05,0.018,0,0.018,0
0.02,6.59E-05,0.02,0,0.02,0
0.022,0.000101076,0.022,4.87E-06,0.022,4.87E-06
0.024,0.00019556,0.024,9.74E-06,0.024,9.74E-06
0.026,0.00025269,0.026,1.46E-05,0.026,1.46E-05
0.028,0.000309819,0.028,1.46E-05,0.028,1.46E-05
0.03,0.000355963,0.03,1.95E-05,0.03,1.95E-05
0.032,0.000395514,0.032,1.95E-05,0.032,1.95E-05
0.034,0.000428474,0.034,1.95E-05,0.034,1.95E-05
0.036,0.000492195,0.036,1.95E-05,0.036,1.95E-05
0.038,0.000628428,0.038,4.38E-05,0.038,6.13E-06
0.04,0.000663585,0.04,5.36E-05,0.04,6.45E-06
0.042,0.000685558,0.042,5.84E-05,0.042,1.90E-06
0.044,0.000694347,0.044,6.82E-05,0.044,2.21E-06
0.046,0.000703136,0.046,7.79E-05,0.046,2.53E-06
0.048,0.000742687,0.048,0.000107149,0.048,1.29E-05
0.05,0.000823988,0.05,0.000150982,0.05,2.85E-05
0.052,0.000876723,0.052,0.000175334,0.052,4.34E-05
0.054,0.000931655,0.054,0.000204557,0.054,5.38E-05
0.056,0.000979996,0.056,0.000233779,0.056,7.36E-05
0.058,0.00102174,0.058,0.000258131,0.058,7.91E-05
0.06,0.0010591,0.06,0.000287354,0.06,9.89E-05
0.062,0.00112502,0.062,0.000336058,0.062,0.000119287
0.064,0.0012217,0.064,0.000418854,0.064,0.00015496
0.066,0.00125026,0.066,0.000448077,0.066,0.000174758
0.068,0.00127224,0.068,0.000477299,0.068,0.00018513
0.07,0.00128322,0.07,0.000506522,0.07,0.000195503
0.072,0.00129641,0.072,0.000530874,0.072,0.00021043
0.074,0.00131838,0.074,0.000560096,0.074,0.000220803
0.076,0.00139309,0.076,0.000623411,0.076,0.000255844
0.078,0.00144363,0.078,0.000657504,0.078,0.000280512
0.08,0.00150076,0.08,0.000696467,0.08,0.000300626
0.082,0.00155569,0.082,0.00073543,0.082,0.000330164
0.084,0.00160842,0.084,0.000779264,0.084,0.000364573
0.086,0.00165896,0.086,0.000818227,0.086,0.000394111
0.088,0.00174466,0.088,0.000901024,0.088,0.000448634
0.09,0.00183694,0.09,0.00103252,0.09,0.000542435
0.092,0.00185452,0.092,0.00107636,0.092,0.000576844
0.094,0.00186111,0.094,0.00112506,0.094,0.000616123
0.096,0.00186111,0.096,0.00116403,0.096,0.000645662
0.098,0.0018699,0.098,0.00120299,0.098,0.000684625
0.1,0.00188748,0.1,0.00124682,0.1,0.000719034
0.102,0.00195999,0.102,0.00132962,0.102,0.00080183
0.104,0.00214456,0.104,0.00146599,0.104,0.000938202
0.106,0.00221488,0.106,0.00150982,0.106,0.000982035
0.108,0.00226542,0.108,0.00155366,0.108,0.00102587
0.11,0.00228739,0.11,0.00159262,0.11,0.00106483
0.112,0.00229398,0.112,0.00162671,0.112,0.00109892
0.114,0.00230057,0.114,0.00170464,0.114,0.00117685
0.116,0.00232035,0.116,0.00178257,0.116,0.00125478
0.118,0.00234012,0.118,0.00183614,0.118,0.00130835
0.12,0.00236649,0.12,0.00187997,0.12,0.00135219
0.122,0.00239725,0.122,0.00191407,0.122,0.00138628
