"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,2.20E-06,0.006,0,0.006,0
0.008,4.39E-06,0.008,0,0.008,0
0.01,4.39E-06,0.01,0,0.01,0
0.012,6.59E-06,0.012,0,0.012,0
0.014,1.32E-05,0.014,0,0.014,0
0.016,2.20E-05,0.016,0,0.016,0
0.018,3.96E-05,0.018,0,0.018,0
0.02,6.59E-05,0.02,0,0.02,0
0.022,0.000101076,0.022,0,0.022,0
0.024,0.000180179,0.024,4.87E-06,0.024,4.87E-06
0.026,0.000217533,0.026,9.74E-06,0.026,9.74E-06
0.028,0.000250492,0.028,1.46E-05,0.028,1.46E-05
0.03,0.000283452,0.03,1.95E-05,0.03,1.95E-05
0.032,0.000320806,0.032,1.95E-05,0.032,1.95E-05
0.034,0.000364752,0.034,1.95E-05,0.034,1.95E-05
0.036,0.000481209,0.036,1.46E-05,0.036,1.46E-05
0.038,0.000718517,0.038,4.38E-05,0.038,4.38E-05
0.04,0.000762463,0.04,4.87E-05,0.04,4.87E-05
0.042,0.000775647,0.042,5.84E-05,0.042,5.84E-05
0.044,0.000753674,0.044,6.82E-05,0.044,6.82E-05
0.046,0.00074049,0.046,6.82E-05,0.046,6.82E-05
0.048,0.000751477,0.048,7.31E-05,0.048,7.31E-05
0.05,0.000841566,0.05,8.77E-05,0.05,7.82E-05
0.052,0.000898696,0.052,0.000107149,0.052,8.83E-05
0.054,0.000938247,0.054,0.000131501,0.054,0.000103226
0.056,0.000966812,0.056,0.000165594,0.056,0.00011847
0.058,0.00099318,0.058,0.000189946,0.058,0.000133397
0.06,0.00102394,0.06,0.000214298,0.06,0.000148324
0.062,0.00110964,0.062,0.000258131,0.062,0.000163883
0.064,0.00126784,0.064,0.000345798,0.064,0.000232701
0.066,0.001303,0.066,0.000384762,0.066,0.000262239
0.068,0.00131838,0.068,0.000423725,0.068,0.000291778
0.07,0.00131618,0.07,0.000462688,0.07,0.000321316
0.072,0.00131838,0.072,0.00049191,0.072,0.000341114
0.074,0.00133596,0.074,0.000511392,0.074,0.00035117
0.076,0.00141286,0.076,0.000560096,0.076,0.0003716
0.078,0.00154031,0.078,0.000676986,0.078,0.000460215
0.08,0.00158425,0.08,0.000720819,0.08,0.000485199
0.082,0.00161502,0.082,0.000750042,0.082,0.000504997
0.084,0.0016304,0.084,0.000774394,0.084,0.000519924
0.086,0.00164358,0.086,0.000808486,0.086,0.000554017
0.088,0.00169192,0.088,0.000876672,0.088,0.000612778
0.09,0.00177102,0.09,0.00097895,0.09,0.000715056
0.092,0.00180838,0.092,0.00102278,0.092,0.00075889
0.094,0.00183694,0.094,0.00107149,0.094,0.000798169
0.096,0.00185672,0.096,0.00111045,0.096,0.000837132
0.098,0.00187649,0.098,0.00115428,0.098,0.000880966
0.1,0.00190506,0.1,0.00120299,0.1,0.00092967
0.102,0.00199075,0.102,0.00129066,0.102,0.00101734
0.104,0.00212479,0.104,0.00143677,0.104,0.00116345
0.106,0.00216434,0.106,0.00148547,0.106,0.00121215
0.108,0.00218412,0.108,0.00152931,0.108,0.00125599
0.11,0.00219071,0.11,0.00157314,0.11,0.00129982
0.112,0.00219291,0.112,0.00161697,0.112,0.00134365
0.114,0.00222806,0.114,0.00169977,0.114,0.00142645
0.116,0.00230057,0.116,0.00179231,0.116,0.00151899
0.118,0.00233573,0.118,0.00183127,0.118,0.00155795
0.12,0.0023621,0.12,0.0018751,0.12,0.00160178
0.122,0.00238187,0.122,0.00192381,0.122,0.00165049
