Time - Fc (N,Amplitude - Fc (N
5.776,0.720773
5.778,0.69732
5.78,0.671749
5.782,0.644137
5.784,0.614569
5.786,0.583134
5.788,0.549927
5.79,0.515048
5.792,0.478604
5.794,0.440705
5.796,0.401466
5.798,0.361007
5.8,0.31945
5.802,0.276921
5.804,0.233551
5.806,0.189471
5.808,0.144815
5.81,0.0997189
5.812,0.0543207
5.814,0.00875844
5.816,-0.0368288
5.818,-0.0823021
5.82,-0.127523
5.822,-0.172352
5.824,-0.216654
5.826,-0.260293
5.828,-0.303135
5.83,-0.34505
5.832,-0.385909
5.834,-0.425587
5.836,-0.463963
5.838,-0.500919
5.84,-0.536342
5.842,-0.570123
5.844,-0.602159
5.846,-0.632351
5.848,-0.660607
5.85,-0.686839
5.852,-0.710967
5.854,-0.732917
5.856,-0.752621
5.858,-0.770019
5.86,-0.785055
5.862,-0.797685
5.864,-0.807869
5.866,-0.815575
5.868,-0.820779
5.87,-0.823465
5.872,-0.823624
5.874,-0.821255
5.876,-0.816364
5.878,-0.808968
5.88,-0.799087
5.882,-0.786751
5.884,-0.771999
5.886,-0.754874
5.888,-0.73543
5.89,-0.713725
5.892,-0.689826
5.894,-0.663807
5.896,-0.635745
5.898,-0.605729
5.9,-0.573849
5.902,-0.540204
5.904,-0.504897
5.906,-0.468035
5.908,-0.429734
5.91,-0.390109
5.912,-0.349284
5.914,-0.307384
5.916,-0.264537
5.918,-0.220876
5.92,-0.176536
5.922,-0.131652
5.924,-0.0863638
5.926,-0.0408108
5.928,0.00486655
5.93,0.0505271
5.932,0.0960299
5.934,0.141234
5.936,0.186001
5.938,0.23019
5.94,0.273667
5.942,0.316296
5.944,0.357944
5.946,0.398484
5.948,0.43779
5.95,0.475739
5.952,0.512214
5.954,0.547102
5.956,0.580295
5.958,0.611689
5.96,0.641186
5.962,0.668696
5.964,0.694132
5.966,0.717415
5.968,0.738472
5.97,0.757239
5.972,0.773656
5.974,0.787671
5.976,0.799242
5.978,0.808331
5.98,0.814911
5.982,0.818959
5.984,0.820464
5.986,0.819419
5.988,0.815828
5.99,0.809701
5.992,0.801058
5.994,0.789924
5.996,0.776333
5.998,0.760328
6,0.741958
6.002,0.72128
6.004,0.698357
6.006,0.67326
6.008,0.646068
6.01,0.616865
6.012,0.58574
6.014,0.552792
6.016,0.518122
6.018,0.481838
6.02,0.444053
6.022,0.404884
6.024,0.364454
6.026,0.322888
6.028,0.280316
6.03,0.236871
6.032,0.192688
6.034,0.147904
6.036,0.102661
6.038,0.0570982
6.04,0.0113591
6.042,-0.0344138
6.044,-0.0800774
6.046,-0.125489
6.048,-0.170506
6.05,-0.214988
6.052,-0.258795
6.054,-0.301791
6.056,-0.343841
6.058,-0.384812
6.06,-0.424576
6.062,-0.46301
6.064,-0.49999
6.066,-0.535403
6.068,-0.569136
6.07,-0.601084
6.072,-0.631145
6.074,-0.659225
6.076,-0.685237
6.078,-0.709097
6.08,-0.730731
6.082,-0.75007
6.084,-0.767053
6.086,-0.781627
6.088,-0.793745
6.09,-0.803369
6.092,-0.810467
6.094,-0.815018
6.096,-0.817006
6.098,-0.816426
6.1,-0.813277
6.102,-0.80757
6.104,-0.799322
6.106,-0.788559
6.108,-0.775314
6.11,-0.759628
6.112,-0.74155
6.114,-0.721138
6.116,-0.698454
6.118,-0.67357
6.12,-0.646564
6.122,-0.61752
6.124,-0.586531
6.126,-0.553692
6.128,-0.519109
6.13,-0.482888
6.132,-0.445146
6.134,-0.405999
6.136,-0.365572
6.138,-0.323992
6.14,-0.281391
6.142,-0.237902
6.144,-0.193663
6.146,-0.148813
6.148,-0.103495
6.15,-0.0578519
6.152,-0.0120272
6.154,0.0338336
6.156,0.0795856
6.158,0.125084
6.16,0.170184
6.162,0.214744
6.164,0.258622
6.166,0.301679
6.168,0.343778
6.17,0.384787
6.172,0.424574
6.174,0.463013
6.176,0.499983
6.178,0.535365
6.18,0.569048
6.182,0.600924
6.184,0.630891
6.186,0.658854
6.188,0.684724
6.19,0.708419
6.192,0.729863
6.194,0.748987
6.196,0.765729
6.198,0.780038
6.2,0.791866
6.202,0.801175
6.204,0.807936
6.206,0.812127
6.208,0.813733
6.21,0.81275
6.212,0.809179
6.214,0.803032
6.216,0.794329
6.218,0.783095
6.22,0.769367
6.222,0.753188
6.224,0.734608
6.226,0.713688
6.228,0.690493
6.23,0.665096
6.232,0.637579
6.234,0.608029
6.236,0.57654
6.238,0.543211
6.24,0.508149
6.242,0.471467
6.244,0.433279
6.246,0.393709
6.248,0.352883
6.25,0.31093
6.252,0.267985
6.254,0.224185
6.256,0.17967
6.258,0.134582
6.26,0.0890653
6.262,0.0432654
6.264,-0.00267123
6.266,-0.0485974
6.268,-0.094366
6.27,-0.13983
6.272,-0.184845
6.274,-0.229266
6.276,-0.272949
6.278,-0.315756
6.28,-0.357549
6.282,-0.398194
6.284,-0.437559
6.286,-0.475519
6.288,-0.511951
6.29,-0.546739
6.292,-0.579769
6.294,-0.610937
6.296,-0.640141
6.298,-0.667288
6.3,-0.692289
6.302,-0.715064
6.304,-0.735539
6.306,-0.753649
6.308,-0.769334
6.31,-0.782544
6.312,-0.793236
6.314,-0.801375
6.316,-0.806934
6.318,-0.809895
6.32,-0.810247
6.322,-0.807991
6.324,-0.803131
6.326,-0.795684
6.328,-0.785673
6.33,-0.773129
6.332,-0.758094
6.334,-0.740614
6.336,-0.720747
6.338,-0.698554
6.34,-0.674109
6.342,-0.647489
6.344,-0.618779
6.346,-0.588073
6.348,-0.555469
6.35,-0.521072
6.352,-0.484993
6.354,-0.447348
6.356,-0.408258
6.358,-0.367851
6.36,-0.326255
6.362,-0.283606
6.364,-0.240041
6.366,-0.195702
6.368,-0.150731
6.37,-0.105274
6.372,-0.0594775
6.374,-0.0134907
6.376,0.0325378
6.378,0.0784589
6.38,0.124124
6.382,0.169384
6.384,0.214094
6.386,0.258108
6.388,0.301282
6.39,0.343477
6.392,0.384556
6.394,0.424385
6.396,0.462835
6.398,0.49978
6.4,0.535101
6.402,0.568682
6.404,0.600415
6.406,0.630194
6.408,0.657925
6.41,0.683515
6.412,0.706881
6.414,0.727948
6.416,0.746645
6.418,0.762913
6.42,0.776697
6.422,0.787952
6.424,0.796641
6.426,0.802736
6.428,0.806216
6.43,0.807069
6.432,0.805293
6.434,0.800892
6.436,0.79388
6.438,0.78428
6.44,0.772123
6.442,0.757447
6.444,0.740301
6.446,0.72074
6.448,0.698828
6.45,0.674635
6.452,0.648239
6.454,0.619728
6.456,0.589194
6.458,0.556736
6.46,0.522459
6.462,0.486477
6.464,0.448905
6.466,0.409867
6.468,0.36949
6.47,0.327906
6.472,0.285251
6.474,0.241664
6.476,0.197288
6.478,0.152268
6.48,0.106751
6.482,0.0608863
6.484,0.0148242
6.486,-0.0312845
6.488,-0.0772886
6.49,-0.123037
6.492,-0.16838
6.494,-0.213169
6.496,-0.257257
6.498,-0.300499
6.5,-0.342752
6.502,-0.383879
6.504,-0.423743
6.506,-0.462214
6.508,-0.499165
6.51,-0.534475
6.512,-0.568026
6.514,-0.59971
6.516,-0.62942
6.518,-0.657059
6.52,-0.682536
6.522,-0.705767
6.524,-0.726675
6.526,-0.74519
6.528,-0.761251
6.53,-0.774806
6.532,-0.785809
6.534,-0.794222
6.536,-0.800019
6.538,-0.80318
6.54,-0.803693
6.542,-0.801557
6.544,-0.796779
6.546,-0.789373
6.548,-0.779363
6.55,-0.766782
6.552,-0.751672
6.554,-0.734082
6.556,-0.714068
6.558,-0.691698
6.56,-0.667045
6.562,-0.640189
6.564,-0.611219
6.566,-0.58023
6.568,-0.547325
6.57,-0.512611
6.572,-0.476204
6.574,-0.438224
6.576,-0.398796
6.578,-0.358049
6.58,-0.31612
6.582,-0.273146
6.584,-0.22927
6.586,-0.184636
6.588,-0.139393
6.59,-0.0936895
6.592,-0.047678
6.594,-0.00151046
6.596,0.04466
6.598,0.0906802
6.6,0.136398
6.602,0.181661
6.604,0.226319
6.606,0.270224
6.608,0.31323
6.61,0.355194
6.612,0.395977
6.614,0.435443
6.616,0.47346
6.618,0.509903
6.62,0.544649
6.622,0.577583
6.624,0.608595
6.626,0.637582
6.628,0.664446
6.63,0.689099
6.632,0.711458
6.634,0.731448
6.636,0.749001
6.638,0.76406
6.64,0.776574
6.642,0.7865
6.644,0.793805
6.646,0.798464
6.648,0.800462
6.65,0.799791
6.652,0.796453
6.654,0.790458
6.656,0.781827
6.658,0.770588
6.66,0.756777
6.662,0.740441
6.664,0.721633
6.666,0.700416
6.668,0.676861
6.67,0.651045
6.672,0.623055
6.674,0.592984
6.676,0.560932
6.678,0.527005
6.68,0.491318
6.682,0.453989
6.684,0.415143
6.686,0.374909
6.688,0.333422
6.69,0.290821
6.692,0.247248
6.694,0.202849
6.696,0.157772
6.698,0.112169
6.7,0.0661916
6.702,0.0199947
6.704,-0.026267
6.706,-0.0724385
6.708,-0.118365
6.71,-0.163892
6.712,-0.208867
6.714,-0.253139
6.716,-0.296559
6.718,-0.338982
6.72,-0.380264
6.722,-0.420267
6.724,-0.458856
6.726,-0.495901
6.728,-0.531278
6.73,-0.564866
6.732,-0.596554
6.734,-0.626235
6.736,-0.653807
6.738,-0.679178
6.74,-0.702262
6.742,-0.722981
6.744,-0.741265
6.746,-0.757053
6.748,-0.770289
6.75,-0.78093
6.752,-0.788939
6.754,-0.794289
6.756,-0.796961
6.758,-0.796946
6.76,-0.794243
6.762,-0.788861
6.764,-0.780819
6.766,-0.770141
6.768,-0.756865
6.77,-0.741035
6.772,-0.722703
6.774,-0.701931
6.776,-0.678789
6.778,-0.653355
6.78,-0.625714
6.782,-0.595959
6.784,-0.564191
6.786,-0.530517
6.788,-0.495049
6.79,-0.457909
6.792,-0.419222
6.794,-0.379117
6.796,-0.337731
6.798,-0.295204
6.8,-0.251678
6.802,-0.207303
6.804,-0.162227
6.806,-0.116604
6.808,-0.0705874
6.81,-0.0243339
6.812,0.0219999
6.814,0.0682569
6.816,0.11428
6.818,0.159913
6.82,0.205002
6.822,0.249393
6.824,0.292935
6.826,0.33548
6.828,0.376883
6.83,0.417005
6.832,0.455708
6.834,0.49286
6.836,0.528336
6.838,0.562013
6.84,0.593778
6.842,0.623522
6.844,0.651143
6.846,0.676547
6.848,0.699648
6.85,0.720366
6.852,0.73863
6.854,0.754379
6.856,0.767557
6.858,0.77812
6.86,0.78603
6.862,0.791262
6.864,0.793795
6.866,0.793623
6.868,0.790744
6.87,0.785167
6.872,0.776912
6.874,0.766007
6.876,0.752488
6.878,0.7364
6.88,0.717799
6.882,0.696747
6.884,0.673316
6.886,0.647586
6.888,0.619644
6.89,0.589586
6.892,0.557513
6.894,0.523536
6.896,0.487769
6.898,0.450336
6.9,0.411364
6.902,0.370985
6.904,0.329339
6.906,0.286568
6.908,0.242817
6.91,0.198236
6.912,0.152979
6.914,0.107199
6.916,0.0610549
6.918,0.0147033
6.92,-0.0316965
6.922,-0.0779853
6.924,-0.124004
6.926,-0.169596
6.928,-0.214603
6.93,-0.258872
6.932,-0.302249
6.934,-0.344587
6.936,-0.385739
6.938,-0.425565
6.94,-0.463926
6.942,-0.500691
6.944,-0.535734
6.946,-0.568933
6.948,-0.600174
6.95,-0.629349
6.952,-0.656358
6.954,-0.681108
6.956,-0.703512
6.958,-0.723494
6.96,-0.740984
6.962,-0.755922
6.964,-0.768255
6.966,-0.777942
6.968,-0.784947
6.97,-0.789247
6.972,-0.790826
6.974,-0.789679
6.976,-0.785808
6.978,-0.779227
6.98,-0.769959
6.982,-0.758034
6.984,-0.743494
6.986,-0.726387
6.988,-0.706774
6.99,-0.684721
6.992,-0.660304
6.994,-0.633607
6.996,-0.604722
6.998,-0.573748
7,-0.540792
7.002,-0.505968
7.004,-0.469396
7.006,-0.431203
7.008,-0.391519
7.01,-0.350482
7.012,-0.308235
7.014,-0.264922
7.016,-0.220694
7.018,-0.175704
7.02,-0.130108
7.022,-0.0840633
7.024,-0.0377294
7.026,0.00873289
7.028,0.0551626
7.03,0.101399
7.032,0.147281
7.034,0.19265
7.036,0.237348
7.038,0.281221
7.04,0.324115
7.042,0.365881
7.044,0.406375
7.046,0.445456
7.048,0.482987
7.05,0.518838
7.052,0.552884
7.054,0.585007
7.056,0.615094
7.058,0.64304
7.06,0.668749
7.062,0.692129
7.064,0.7131
7.066,0.731589
7.068,0.747529
7.07,0.760866
7.072,0.771553
7.074,0.779552
7.076,0.784834
7.078,0.787382
7.08,0.787185
7.082,0.784244
7.084,0.778568
7.086,0.770178
7.088,0.759101
7.09,0.745377
7.092,0.729052
7.094,0.710184
7.096,0.688837
7.098,0.665086
7.1,0.639014
7.102,0.61071
7.104,0.580274
7.106,0.547813
7.108,0.513437
7.11,0.477269
7.112,0.439434
7.114,0.400063
7.116,0.359296
7.118,0.317273
7.12,0.274142
7.122,0.230053
7.124,0.185162
7.126,0.139624
7.128,0.0935996
7.13,0.0472496
7.132,0.000736479
7.134,-0.0457769
7.136,-0.0921274
7.138,-0.138153
7.14,-0.183691
7.142,-0.228583
7.144,-0.27267
7.146,-0.315799
7.148,-0.357817
7.15,-0.398577
7.152,-0.437935
7.154,-0.475754
7.156,-0.511899
7.158,-0.546245
7.16,-0.578669
7.162,-0.609057
7.164,-0.637303
7.166,-0.663307
7.168,-0.686977
7.17,-0.70823
7.172,-0.726989
7.174,-0.74319
7.176,-0.756773
7.178,-0.767693
7.18,-0.775908
7.182,-0.781391
7.184,-0.784121
7.186,-0.784088
7.188,-0.781292
7.19,-0.775743
7.192,-0.767459
7.194,-0.756469
7.196,-0.742813
7.198,-0.726536
7.2,-0.707698
7.202,-0.686362
7.204,-0.662606
7.206,-0.636511
7.208,-0.60817
7.21,-0.577683
7.212,-0.545157
7.214,-0.510706
7.216,-0.474452
7.218,-0.436523
7.22,-0.397053
7.222,-0.356181
7.224,-0.314051
7.226,-0.270813
7.228,-0.226618
7.23,-0.181624
7.232,-0.13599
7.234,-0.0898759
7.236,-0.0434464
7.238,0.00313468
7.24,0.0497022
7.242,0.0960912
7.244,0.142137
7.246,0.187677
7.248,0.232549
7.25,0.276594
7.252,0.319656
7.254,0.361581
7.256,0.402222
7.258,0.441432
7.26,0.479074
7.262,0.515013
7.264,0.549121
7.266,0.581277
7.268,0.611366
7.27,0.639282
7.272,0.664923
7.274,0.6882
7.276,0.709029
7.278,0.727336
7.28,0.743054
7.282,0.756128
7.284,0.766511
7.286,0.774165
7.288,0.779063
7.29,0.781187
7.292,0.780529
7.294,0.777091
7.296,0.770884
7.298,0.761931
7.3,0.750263
7.302,0.73592
7.304,0.718955
7.306,0.699427
7.308,0.677405
7.31,0.652967
7.312,0.6262
7.314,0.5972
7.316,0.56607
7.318,0.53292
7.32,0.497869
7.322,0.461041
7.324,0.422568
7.326,0.382587
7.328,0.34124
7.33,0.298676
7.332,0.255047
7.334,0.210507
7.336,0.165217
7.338,0.119338
7.34,0.0730344
7.342,0.026472
7.344,-0.0201827
7.346,-0.0667626
7.348,-0.113101
7.35,-0.159032
7.352,-0.20439
7.354,-0.249014
7.356,-0.292743
7.358,-0.33542
7.36,-0.376892
7.362,-0.41701
7.364,-0.45563
7.366,-0.492613
7.368,-0.527827
7.37,-0.561144
7.372,-0.592445
7.374,-0.621616
7.376,-0.648554
7.378,-0.673161
7.38,-0.695347
7.382,-0.715034
7.384,-0.732149
7.386,-0.746632
7.388,-0.758429
7.39,-0.767497
7.392,-0.773804
7.394,-0.777327
7.396,-0.778052
7.398,-0.775977
7.4,-0.771108
7.402,-0.763463
7.404,-0.753068
7.406,-0.739961
7.408,-0.724189
7.41,-0.705808
7.412,-0.684884
7.414,-0.661492
7.416,-0.635715
7.418,-0.607648
7.42,-0.577389
7.422,-0.54505
7.424,-0.510745
7.426,-0.474598
7.428,-0.43674
7.43,-0.397306
7.432,-0.35644
7.434,-0.314289
7.436,-0.271004
7.438,-0.226742
7.44,-0.181663
7.442,-0.13593
7.444,-0.0897073
7.446,-0.043163
7.448,0.00353492
7.45,0.0502175
7.452,0.0967159
7.454,0.142862
7.456,0.188488
7.458,0.233429
7.46,0.277522
7.462,0.320607
7.464,0.362528
7.466,0.403133
7.468,0.442275
7.47,0.479811
7.472,0.515605
7.474,0.549527
7.476,0.581454
7.478,0.611269
7.48,0.638865
7.482,0.664139
7.484,0.687001
7.486,0.707368
7.488,0.725163
7.49,0.740324
7.492,0.752794
7.494,0.762527
7.496,0.769488
7.498,0.773651
7.5,0.775
7.502,0.773531
7.504,0.769247
7.506,0.762165
7.508,0.75231
7.51,0.739716
7.512,0.72443
7.514,0.706507
7.516,0.686012
7.518,0.663019
7.52,0.637611
7.522,0.609881
7.524,0.579929
7.526,0.547865
7.528,0.513805
7.53,0.477872
7.532,0.440198
7.534,0.40092
7.536,0.360181
7.538,0.31813
7.54,0.274919
7.542,0.230707
7.544,0.185655
7.546,0.139927
7.548,0.0936899
7.55,0.0471132
7.552,0.000367002
7.554,-0.046378
7.556,-0.0929508
7.558,-0.139181
7.56,-0.1849
7.562,-0.229939
7.564,-0.274134
7.566,-0.317324
7.568,-0.359349
7.57,-0.400056
7.572,-0.439296
7.574,-0.476924
7.576,-0.512802
7.578,-0.546799
7.58,-0.57879
7.582,-0.608658
7.584,-0.636291
7.586,-0.661589
7.588,-0.684459
7.59,-0.704816
7.592,-0.722586
7.594,-0.737701
7.596,-0.750108
7.598,-0.75976
7.6,-0.76662
7.602,-0.770664
7.604,-0.771876
7.606,-0.770251
7.608,-0.765796
7.61,-0.758524
7.612,-0.748464
7.614,-0.735652
7.616,-0.720134
7.618,-0.701968
7.62,-0.681219
7.622,-0.657964
7.624,-0.632287
7.626,-0.604284
7.628,-0.574057
7.63,-0.541717
7.632,-0.507382
7.634,-0.47118
7.636,-0.433243
7.638,-0.393711
7.64,-0.352729
7.642,-0.310449
7.644,-0.267026
7.646,-0.22262
7.648,-0.177395
7.65,-0.131517
7.652,-0.0851572
7.654,-0.0384852
7.656,0.0083263
7.658,0.0551044
7.66,0.101676
7.662,0.14787
7.664,0.193514
7.666,0.23844
7.668,0.282482
7.67,0.325477
7.672,0.367265
7.674,0.407692
7.676,0.446609
7.678,0.483869
7.68,0.519337
7.682,0.552879
7.684,0.584371
7.686,0.613698
7.688,0.640748
7.69,0.665423
7.692,0.68763
7.694,0.707286
7.696,0.724319
7.698,0.738664
7.7,0.750269
7.702,0.759089
7.704,0.765091
7.706,0.768254
7.708,0.768564
7.71,0.766021
7.712,0.760632
7.714,0.752419
7.716,0.741411
7.718,0.727648
7.72,0.711181
7.722,0.692071
7.724,0.670389
7.726,0.646216
7.728,0.619639
7.73,0.590759
7.732,0.559683
7.734,0.526524
7.736,0.491408
7.738,0.454464
7.74,0.41583
7.742,0.375649
7.744,0.33407
7.746,0.29125
7.748,0.247346
7.75,0.202523
7.752,0.156947
7.754,0.110788
7.756,0.064219
7.758,0.0174129
7.76,-0.0294554
7.762,-0.0762111
7.764,-0.12268
7.766,-0.168687
7.768,-0.214062
7.77,-0.258635
7.772,-0.302239
7.774,-0.344712
7.776,-0.385893
7.778,-0.425629
7.78,-0.463772
7.782,-0.500178
7.784,-0.534712
7.786,-0.567242
7.788,-0.597649
7.79,-0.625817
7.792,-0.65164
7.794,-0.675022
7.796,-0.695875
7.798,-0.714121
7.8,-0.72969
7.802,-0.742524
7.804,-0.752574
7.806,-0.759803
7.808,-0.764183
7.81,-0.765697
7.812,-0.764338
7.814,-0.760113
7.816,-0.753036
7.818,-0.743133
7.82,-0.730441
7.822,-0.715007
7.824,-0.69689
7.826,-0.676156
7.828,-0.652883
7.83,-0.627158
7.832,-0.599078
7.834,-0.568748
7.836,-0.536281
7.838,-0.5018
7.84,-0.465433
7.842,-0.427318
7.844,-0.387597
7.846,-0.34642
7.848,-0.303941
7.85,-0.260321
7.852,-0.215722
7.854,-0.170314
7.856,-0.124267
7.858,-0.077755
7.86,-0.0309523
7.862,0.0159643
7.864,0.0628179
7.866,0.109432
7.868,0.155631
7.87,0.201239
7.872,0.246086
7.874,0.290002
7.876,0.33282
7.878,0.374379
7.88,0.414523
7.882,0.453098
7.884,0.48996
7.886,0.524968
7.888,0.557991
7.89,0.588902
7.892,0.617586
7.894,0.643933
7.896,0.667843
7.898,0.689225
7.9,0.707999
7.902,0.724092
7.904,0.737444
7.906,0.748004
7.908,0.75573
7.91,0.760595
7.912,0.762578
7.914,0.761672
7.916,0.75788
7.918,0.751216
7.92,0.741704
7.922,0.729382
7.924,0.714293
7.926,0.696497
7.928,0.676059
7.93,0.653057
7.932,0.627579
7.934,0.599719
7.936,0.569584
7.938,0.537289
7.94,0.502954
7.942,0.466711
7.944,0.428696
7.946,0.389055
7.948,0.347937
7.95,0.305499
7.952,0.261902
7.954,0.217311
7.956,0.171896
7.958,0.12583
7.96,0.079288
7.962,0.0324469
7.964,-0.014515
7.966,-0.0614188
7.968,-0.108086
7.97,-0.154338
7.972,-0.2
7.974,-0.244897
7.976,-0.288857
7.978,-0.331714
7.98,-0.373304
7.982,-0.413467
7.984,-0.452051
7.986,-0.488907
7.988,-0.523896
7.99,-0.556883
7.992,-0.587742
7.994,-0.616355
7.996,-0.642613
7.998,-0.666415
8,-0.687669
8.002,-0.706294
8.004,-0.722218
8.006,-0.735381
8.008,-0.745731
8.01,-0.753229
8.012,-0.757845
8.014,-0.759562
8.016,-0.758372
8.018,-0.75428
8.02,-0.747301
8.022,-0.737461
8.024,-0.724798
8.026,-0.709359
8.028,-0.691204
8.03,-0.670402
8.032,-0.647031
8.034,-0.621182
8.036,-0.592953
8.038,-0.562452
8.04,-0.529795
8.042,-0.495108
8.044,-0.458524
8.046,-0.420182
8.048,-0.38023
8.05,-0.33882
8.052,-0.296112
8.054,-0.252269
8.056,-0.20746
8.058,-0.161857
8.06,-0.115634
8.062,-0.0689697
8.064,-0.0220431
8.066,0.0249654
8.068,0.071875
8.07,0.118505
8.072,0.164677
8.074,0.210212
8.076,0.254935
8.078,0.298674
8.08,0.34126
8.082,0.382529
8.084,0.422323
8.086,0.460487
8.088,0.496874
8.09,0.531344
8.092,0.563764
8.094,0.594008
8.096,0.62196
8.098,0.647511
8.1,0.670562
8.102,0.691025
8.104,0.708819
8.106,0.723876
8.108,0.736138
8.11,0.745556
8.112,0.752094
8.114,0.755727
8.116,0.756439
8.118,0.754227
8.12,0.749101
8.122,0.741079
8.124,0.730192
8.126,0.716481
8.128,0.7
8.13,0.680811
8.132,0.658989
8.134,0.634618
8.136,0.607791
8.138,0.578613
8.14,0.547195
8.142,0.51366
8.144,0.478137
8.146,0.440763
8.148,0.401684
8.15,0.36105
8.152,0.319018
8.154,0.275752
8.156,0.231418
8.158,0.18619
8.16,0.140242
8.162,0.0937531
8.164,0.0469028
8.166,-0.000126758
8.168,-0.0471528
8.17,-0.0939929
8.172,-0.140465
8.174,-0.186388
8.176,-0.231584
8.178,-0.275877
8.18,-0.319095
8.182,-0.361069
8.184,-0.401636
8.186,-0.440639
8.188,-0.477924
8.19,-0.513347
8.192,-0.54677
8.194,-0.578062
8.196,-0.607102
8.198,-0.633775
8.2,-0.657978
8.202,-0.679615
8.204,-0.698603
8.206,-0.714867
8.208,-0.728343
8.21,-0.738979
8.212,-0.746731
8.214,-0.751571
8.216,-0.753478
8.218,-0.752445
8.22,-0.748475
8.222,-0.741584
8.224,-0.731797
8.226,-0.719154
8.228,-0.703702
8.23,-0.685503
8.232,-0.664626
8.234,-0.641152
8.236,-0.615175
8.238,-0.586793
8.24,-0.556119
8.242,-0.523272
8.244,-0.488379
8.246,-0.451578
8.248,-0.413013
8.25,-0.372833
8.252,-0.331196
8.254,-0.288264
8.256,-0.244207
8.258,-0.199195
8.26,-0.153407
8.262,-0.107019
8.264,-0.0602157
8.266,-0.0131789
8.268,0.0339066
8.27,0.0808561
8.272,0.127485
8.274,0.173612
8.276,0.219054
8.278,0.263633
8.28,0.307175
8.282,0.349508
8.284,0.390466
8.286,0.429887
8.288,0.467617
8.29,0.503508
8.292,0.537417
8.294,0.569212
8.296,0.598766
8.298,0.625965
8.3,0.650699
8.302,0.672873
8.304,0.692397
8.306,0.709196
8.308,0.723202
8.31,0.734359
8.312,0.742625
8.314,0.747965
8.316,0.750359
8.318,0.749796
8.32,0.746279
8.322,0.73982
8.324,0.730446
8.326,0.718191
8.328,0.703106
8.33,0.685248
8.332,0.664688
8.334,0.641506
8.336,0.615794
8.338,0.587653
8.34,0.557193
8.342,0.524535
8.344,0.489808
8.346,0.453147
8.348,0.414699
8.35,0.374614
8.352,0.333051
8.354,0.290174
8.356,0.246152
8.358,0.20116
8.36,0.155374
8.362,0.108977
8.364,0.0621521
8.366,0.0150838
8.368,-0.0320412
8.37,-0.0790363
8.372,-0.125715
8.374,-0.171893
8.376,-0.217388
8.378,-0.262017
8.38,-0.305606
8.382,-0.34798
8.384,-0.388971
8.386,-0.428418
8.388,-0.466162
8.39,-0.502055
8.392,-0.535954
8.394,-0.567723
8.396,-0.597237
8.398,-0.624377
8.4,-0.649037
8.402,-0.671117
8.404,-0.690529
8.406,-0.707197
8.408,-0.721053
8.41,-0.732043
8.412,-0.740121
8.414,-0.745256
8.416,-0.747427
8.418,-0.746624
8.42,-0.742851
8.422,-0.736123
8.424,-0.726464
8.426,-0.713915
8.428,-0.698524
8.43,-0.680352
8.432,-0.659471
8.434,-0.635965
8.436,-0.609926
8.438,-0.581457
8.44,-0.550673
8.442,-0.517696
8.444,-0.482656
8.446,-0.445693
8.448,-0.406955
8.45,-0.366596
8.452,-0.324776
8.454,-0.281663
8.456,-0.237428
8.458,-0.192248
8.46,-0.146303
8.462,-0.0997765
8.464,-0.0528546
8.466,-0.00572455
8.468,0.0414253
8.47,0.0884065
8.472,0.135031
8.474,0.181113
8.476,0.226467
8.478,0.270912
8.48,0.31427
8.482,0.356367
8.484,0.397036
8.486,0.436112
8.488,0.473439
8.49,0.508867
8.492,0.542254
8.494,0.573467
8.496,0.602379
8.498,0.628875
8.5,0.652848
8.502,0.674202
8.504,0.692851
8.506,0.708718
8.508,0.721742
8.51,0.731868
8.512,0.739056
8.514,0.743277
8.516,0.744513
8.518,0.74276
8.52,0.738023
8.522,0.730321
8.524,0.719685
8.526,0.706158
8.528,0.689793
8.53,0.670655
8.532,0.648822
8.534,0.624381
8.536,0.59743
8.538,0.568077
8.54,0.53644
8.542,0.502645
8.544,0.466829
8.546,0.429136
8.548,0.389717
8.55,0.348731
8.552,0.306343
8.554,0.262723
8.556,0.218047
8.558,0.172495
8.56,0.12625
8.562,0.0794996
8.564,0.0324315
8.566,-0.0147643
8.568,-0.0618974
8.57,-0.108778
8.572,-0.155215
8.574,-0.201024
8.576,-0.246017
8.578,-0.290014
8.58,-0.332836
8.582,-0.37431
8.584,-0.41427
8.586,-0.452552
8.588,-0.489002
8.59,-0.523472
8.592,-0.555823
8.594,-0.585923
8.596,-0.613651
8.598,-0.638894
8.6,-0.66155
8.602,-0.681526
8.604,-0.698741
8.606,-0.713125
8.608,-0.72462
8.61,-0.733179
8.612,-0.738767
8.614,-0.74136
8.616,-0.740947
8.618,-0.737531
8.62,-0.731125
8.622,-0.721754
8.624,-0.709455
8.626,-0.694279
8.628,-0.676287
8.63,-0.65555
8.632,-0.632154
8.634,-0.606193
8.636,-0.577772
8.638,-0.547006
8.64,-0.514019
8.642,-0.478946
8.644,-0.441929
8.646,-0.403118
8.648,-0.362671
8.65,-0.320752
8.652,-0.277531
8.654,-0.233184
8.656,-0.187891
8.658,-0.141836
8.66,-0.0952074
8.662,-0.0481943
8.664,-0.000988044
8.666,0.046219
8.668,0.0932346
8.67,0.139867
8.672,0.185926
8.674,0.231225
8.676,0.275578
8.678,0.318804
8.68,0.360727
8.682,0.401176
8.684,0.439986
8.686,0.476998
8.688,0.51206
8.69,0.54503
8.692,0.575773
8.694,0.604162
