Time - Fc (N,Amplitude - Fc (N
0.666,0.310018
0.668,0.346661
0.67,0.382759
0.672,0.418254
0.674,0.45309
0.676,0.487212
0.678,0.520566
0.68,0.553099
0.682,0.584758
0.684,0.615495
0.686,0.645259
0.688,0.674004
0.69,0.701683
0.692,0.728254
0.694,0.753672
0.696,0.777898
0.698,0.800892
0.7,0.822618
0.702,0.843042
0.704,0.862129
0.706,0.879851
0.708,0.896177
0.71,0.911082
0.712,0.924541
0.714,0.936533
0.716,0.947038
0.718,0.956039
0.72,0.963521
0.722,0.969471
0.724,0.973881
0.726,0.976742
0.728,0.978049
0.73,0.977799
0.732,0.975993
0.734,0.972633
0.736,0.967723
0.738,0.961272
0.74,0.953288
0.742,0.943784
0.744,0.932774
0.746,0.920277
0.748,0.90631
0.75,0.890897
0.752,0.87406
0.754,0.855827
0.756,0.836226
0.758,0.815289
0.76,0.793047
0.762,0.769536
0.764,0.744794
0.766,0.71886
0.768,0.691774
0.77,0.66358
0.772,0.634322
0.774,0.604048
0.776,0.572804
0.778,0.540642
0.78,0.507612
0.782,0.473766
0.784,0.43916
0.786,0.403848
0.788,0.367886
0.79,0.331333
0.792,0.294247
0.794,0.256686
0.796,0.218712
0.798,0.180386
0.8,0.141768
0.802,0.102921
0.804,0.0639077
0.806,0.0247902
0.808,-0.0143683
0.81,-0.0535047
0.812,-0.092556
0.814,-0.131459
0.816,-0.170151
0.818,-0.20857
0.82,-0.246654
0.822,-0.28434
0.824,-0.321569
0.826,-0.358279
0.828,-0.394412
0.83,-0.429909
0.832,-0.464712
0.834,-0.498764
0.836,-0.532011
0.838,-0.564398
0.84,-0.595873
0.842,-0.626385
0.844,-0.655883
0.846,-0.684319
0.848,-0.711648
0.85,-0.737825
0.852,-0.762806
0.854,-0.786552
0.856,-0.809022
0.858,-0.83018
0.86,-0.849992
0.862,-0.868424
0.864,-0.885447
0.866,-0.901031
0.868,-0.915153
0.87,-0.927787
0.872,-0.938913
0.874,-0.948513
0.876,-0.95657
0.878,-0.963071
0.88,-0.968004
0.882,-0.971362
0.884,-0.973137
0.886,-0.973327
0.888,-0.971931
0.89,-0.96895
0.892,-0.96439
0.894,-0.958256
0.896,-0.950559
0.898,-0.94131
0.9,-0.930524
0.902,-0.918219
0.904,-0.904413
0.906,-0.889128
0.908,-0.872391
0.91,-0.854226
0.912,-0.834664
0.914,-0.813736
0.916,-0.791475
0.918,-0.767919
0.92,-0.743104
0.922,-0.717072
0.924,-0.689864
0.926,-0.661525
0.928,-0.632101
0.93,-0.601639
0.932,-0.57019
0.934,-0.537804
0.936,-0.504535
0.938,-0.470436
0.94,-0.435564
0.942,-0.399976
0.944,-0.363729
0.946,-0.326884
0.948,-0.2895
0.95,-0.251639
0.952,-0.213363
0.954,-0.174735
0.956,-0.135819
0.958,-0.0966778
0.96,-0.0573763
0.962,-0.0179794
0.964,0.0214481
0.966,0.0608413
0.968,0.100135
0.97,0.139265
0.972,0.178165
0.974,0.216773
0.976,0.255024
0.978,0.292854
0.98,0.330202
0.982,0.367004
0.984,0.403201
0.986,0.438732
0.988,0.473539
0.99,0.507562
0.992,0.540747
0.994,0.573037
0.996,0.604379
0.998,0.63472
1,0.664011
1.002,0.692201
1.004,0.719245
1.006,0.745096
1.008,0.769712
1.01,0.793051
1.012,0.815075
1.014,0.835745
1.016,0.855028
1.018,0.872891
1.02,0.889303
1.022,0.904238
1.024,0.917669
1.026,0.929574
1.028,0.939933
1.03,0.948727
1.032,0.955942
1.034,0.961566
1.036,0.965587
1.038,0.968
1.04,0.968799
1.042,0.967983
1.044,0.965553
1.046,0.961511
1.048,0.955865
1.05,0.948623
1.052,0.939797
1.054,0.929401
1.056,0.917452
1.058,0.90397
1.06,0.888975
1.062,0.872494
1.064,0.854553
1.066,0.835182
1.068,0.814412
1.07,0.792279
1.072,0.768818
1.074,0.744068
1.076,0.718071
1.078,0.69087
1.08,0.66251
1.082,0.633038
1.084,0.602503
1.086,0.570956
1.088,0.53845
1.09,0.50504
1.092,0.47078
1.094,0.435728
1.096,0.399944
1.098,0.363486
1.1,0.326416
1.102,0.288796
1.104,0.250689
1.106,0.21216
1.108,0.173272
1.11,0.134092
1.112,0.0946852
1.114,0.0551177
1.116,0.0154564
1.118,-0.0242319
1.12,-0.0638801
1.122,-0.103422
1.124,-0.142789
1.126,-0.181917
1.128,-0.220738
1.13,-0.259188
1.132,-0.2972
1.134,-0.334711
1.136,-0.371656
1.138,-0.407975
1.14,-0.443604
1.142,-0.478483
1.144,-0.512553
1.146,-0.545755
1.148,-0.578035
1.15,-0.609336
1.152,-0.639605
1.154,-0.668791
1.156,-0.696843
1.158,-0.723714
1.16,-0.749358
1.162,-0.773731
1.164,-0.79679
1.166,-0.818498
1.168,-0.838815
1.17,-0.857708
1.172,-0.875144
1.174,-0.891092
1.176,-0.905526
1.178,-0.918419
1.18,-0.92975
1.182,-0.939499
1.184,-0.947648
1.186,-0.954184
1.188,-0.959095
1.19,-0.962371
1.192,-0.964007
1.194,-0.964
1.196,-0.962348
1.198,-0.959055
1.2,-0.954125
1.202,-0.947566
1.204,-0.93939
1.206,-0.929608
1.208,-0.918238
1.21,-0.905299
1.212,-0.890812
1.214,-0.874801
1.216,-0.857294
1.218,-0.838319
1.22,-0.817909
1.222,-0.796099
1.224,-0.772925
1.226,-0.748426
1.228,-0.722645
1.23,-0.695624
1.232,-0.66741
1.234,-0.638051
1.236,-0.607597
1.238,-0.5761
1.24,-0.543613
1.242,-0.510192
1.244,-0.475894
1.246,-0.440778
1.248,-0.404904
1.25,-0.368333
1.252,-0.331128
1.254,-0.293352
1.256,-0.255071
1.258,-0.216351
1.26,-0.177257
1.262,-0.137857
1.264,-0.0982187
1.266,-0.0584105
1.268,-0.0185008
1.27,0.0214416
1.272,0.0613479
1.274,0.101149
1.276,0.140777
1.278,0.180162
1.28,0.219237
1.282,0.257934
1.284,0.296187
1.286,0.333928
1.288,0.371093
1.29,0.407618
1.292,0.443438
1.294,0.478491
1.296,0.512717
1.298,0.546057
1.3,0.578451
1.302,0.609845
1.304,0.640182
1.306,0.669411
1.308,0.69748
1.31,0.72434
1.312,0.749944
1.314,0.774247
1.316,0.797208
1.318,0.818784
1.32,0.83894
1.322,0.857638
1.324,0.874847
1.326,0.890536
1.328,0.904677
1.33,0.917244
1.332,0.928217
1.334,0.937574
1.336,0.9453
1.338,0.951381
1.34,0.955804
1.342,0.958563
1.344,0.959651
1.346,0.959066
1.348,0.95681
1.35,0.952885
1.352,0.947297
1.354,0.940056
1.356,0.931174
1.358,0.920666
1.36,0.908549
1.362,0.894846
1.364,0.879578
1.366,0.862772
1.368,0.844457
1.37,0.824665
1.372,0.80343
1.374,0.780788
1.376,0.756779
1.378,0.731445
1.38,0.704829
1.382,0.676977
1.384,0.647938
1.386,0.617763
1.388,0.586504
1.39,0.554215
1.392,0.520954
1.394,0.486777
1.396,0.451745
1.398,0.41592
1.4,0.379363
1.402,0.342138
1.404,0.304312
1.406,0.26595
1.408,0.227119
1.41,0.187888
1.412,0.148326
1.414,0.108502
1.416,0.0684866
1.418,0.0283495
1.42,-0.0118382
1.422,-0.0520059
1.424,-0.0920826
1.426,-0.131998
1.428,-0.171681
1.43,-0.211061
1.432,-0.25007
1.434,-0.288639
1.436,-0.326698
1.438,-0.364181
1.44,-0.401021
1.442,-0.437153
1.444,-0.472513
1.446,-0.507039
1.448,-0.540667
1.45,-0.57334
1.452,-0.604999
1.454,-0.635587
1.456,-0.665051
1.458,-0.693336
1.46,-0.720394
1.462,-0.746175
1.464,-0.770635
1.466,-0.793727
1.468,-0.815413
1.47,-0.835651
1.472,-0.854407
1.474,-0.871647
1.476,-0.887338
1.478,-0.901454
1.48,-0.913968
1.482,-0.924858
1.484,-0.934103
1.486,-0.941688
1.488,-0.947597
1.49,-0.951821
1.492,-0.95435
1.494,-0.95518
1.496,-0.954308
1.498,-0.951737
1.5,-0.94747
1.502,-0.941513
1.504,-0.933878
1.506,-0.924577
1.508,-0.913626
1.51,-0.901045
1.512,-0.886855
1.514,-0.871081
1.516,-0.853752
1.518,-0.834896
1.52,-0.814548
1.522,-0.792744
1.524,-0.769522
1.526,-0.744923
1.528,-0.718991
1.53,-0.691771
1.532,-0.663313
1.534,-0.633667
1.536,-0.602885
1.538,-0.571022
1.54,-0.538136
1.542,-0.504284
1.544,-0.469527
1.546,-0.433928
1.548,-0.397549
1.55,-0.360456
1.552,-0.322716
1.554,-0.284395
1.556,-0.245563
1.558,-0.206289
1.56,-0.166643
1.562,-0.126698
1.564,-0.0865234
1.566,-0.046193
1.568,-0.00577874
1.57,0.0346465
1.572,0.0750101
1.574,0.115239
1.576,0.155261
1.578,0.195004
1.58,0.234397
1.582,0.273367
1.584,0.311845
1.586,0.349761
1.588,0.387046
1.59,0.423633
1.592,0.459456
1.594,0.49445
1.596,0.528551
1.598,0.561698
1.6,0.593829
1.602,0.624888
1.604,0.654817
1.606,0.683562
1.608,0.71107
1.61,0.737291
1.612,0.762178
1.614,0.785685
1.616,0.807769
1.618,0.828389
1.62,0.847508
1.622,0.865091
1.624,0.881105
1.626,0.89552
1.628,0.908311
1.63,0.919453
1.632,0.928925
1.634,0.936711
1.636,0.942795
1.638,0.947165
1.64,0.949814
1.642,0.950736
1.644,0.949929
1.646,0.947393
1.648,0.943133
1.65,0.937156
1.652,0.929473
1.654,0.920096
1.656,0.909043
1.658,0.896333
1.66,0.881989
1.662,0.866036
1.664,0.848504
1.666,0.829423
1.668,0.808828
1.67,0.786756
1.672,0.763247
1.674,0.738344
1.676,0.712091
1.678,0.684537
