"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Top Plate, Vehicle Body (m)","Amplitude - Top Plate, Vehicle Body (m)","Time - Middle Plate, VehicleTire (m)","Amplitude - Middle Plate, VehicleTire (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,-2.20E-06,0.006,0,0.006,0
0.008,-1.54E-05,0.008,0,0.008,0
0.01,-5.93E-05,0.01,0,0.01,0
0.012,-0.000156008,0.012,0,0.012,0
0.014,-0.000312017,0.014,-4.87E-06,0.014,-4.87E-06
0.016,-0.000507576,0.016,-2.44E-05,0.016,-2.44E-05
0.018,-0.000744885,0.018,-5.36E-05,0.018,-5.36E-05
0.02,-0.0010569,0.02,-7.79E-05,0.02,-7.79E-05
0.022,-0.00143703,0.022,-0.000102278,0.022,-0.000102278
0.024,-0.00184793,0.024,-0.000141242,0.024,-0.000141242
0.026,-0.00228519,0.026,-0.000180205,0.026,-0.000180205
0.028,-0.00275102,0.028,-0.000233779,0.028,-0.000233779
0.03,-0.00321904,0.03,-0.000292224,0.03,-0.000292224
0.032,-0.00369146,0.032,-0.000345798,0.032,-0.000345798
0.034,-0.0041507,0.034,-0.000395134,0.034,-0.000413984
0.036,-0.00458796,0.036,-0.000416196,0.036,-0.00048217
0.038,-0.00498348,0.038,-0.000418724,0.038,-0.000560096
0.04,-0.00534823,0.04,-0.000421884,0.04,-0.000657504
0.042,-0.00570639,0.042,-0.00042536,0.042,-0.000764653
0.044,-0.00604917,0.044,-0.000434022,0.044,-0.000886413
0.046,-0.00638316,0.046,-0.000452742,0.046,-0.00102765
0.048,-0.00671055,0.048,-0.000472093,0.048,-0.00118838
0.05,-0.00702697,0.05,-0.000516112,0.05,-0.00138319
0.052,-0.0073258,0.052,-0.000560447,0.052,-0.00158775
0.054,-0.00763122,0.054,-0.000634321,0.054,-0.00183127
0.056,-0.00791028,0.056,-0.00070851,0.056,-0.00208453
0.058,-0.00816297,0.058,-0.000783332,0.058,-0.00235727
0.06,-0.0083783,0.06,-0.000882506,0.06,-0.00265437
0.062,-0.00855409,0.062,-0.000996606,0.062,-0.00297581
0.064,-0.00869691,0.064,-0.00112563,0.064,-0.00332161
0.066,-0.00880898,0.066,-0.00125985,0.066,-0.00368202
0.068,-0.00890126,0.068,-0.0013947,0.068,-0.00406191
0.07,-0.00897377,0.07,-0.00152012,0.07,-0.0044418
0.072,-0.00902651,0.072,-0.00163643,0.072,-0.00483144
0.074,-0.00906826,0.074,-0.00172415,0.074,-0.00521133
0.076,-0.00910341,0.076,-0.0017979,0.076,-0.00559609
0.078,-0.00914077,0.078,-0.00186645,0.078,-0.00596624
0.08,-0.00918252,0.08,-0.00196328,0.08,-0.00633639
0.082,-0.00922427,0.082,-0.00215499,0.082,-0.00672602
0.084,-0.00927041,0.084,-0.00242242,0.084,-0.0071254
0.086,-0.00931875,0.086,-0.00266031,0.086,-0.0074858
0.088,-0.00936489,0.088,-0.00287903,0.088,-0.00783647
0.09,-0.00941104,0.09,-0.00304968,0.09,-0.00815792
0.092,-0.00945278,0.092,-0.00323886,0.092,-0.00846963
0.094,-0.00949234,0.094,-0.00347061,0.094,-0.0087862
0.096,-0.00952749,0.096,-0.00372546,0.096,-0.00908817
0.098,-0.00956045,0.098,-0.00395107,0.098,-0.00936091
0.1,-0.00959121,0.1,-0.00416176,0.1,-0.0096093
0.102,-0.00961758,0.102,-0.00438612,0.102,-0.00984308
0.104,-0.00964395,0.104,-0.00462932,0.104,-0.0100769
0.106,-0.00966812,0.106,-0.00486215,0.106,-0.0102814
0.108,-0.00969009,0.108,-0.00510409,0.108,-0.0104762
0.11,-0.00971426,0.11,-0.00534572,0.11,-0.0106613
