"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Top Plate, Vehicle Body (m)","Amplitude - Top Plate, Vehicle Body (m)","Time - Middle Plate, VehicleTire (m)","Amplitude - Middle Plate, VehicleTire (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,-2.20E-06,0.006,0,0.006,0
0.008,-1.32E-05,0.008,0,0.008,0
0.01,-4.83E-05,0.01,0,0.01,0
0.012,-0.00013843,0.012,0,0.012,0
0.014,-0.000281254,0.014,-4.87E-06,0.014,-4.87E-06
0.016,-0.000461433,0.016,-1.95E-05,0.016,-1.95E-05
0.018,-0.000681163,0.018,-4.87E-05,0.018,-4.87E-05
0.02,-0.000966812,0.02,-7.79E-05,0.02,-7.79E-05
0.022,-0.00130959,0.022,-0.000102278,0.022,-0.000102278
0.024,-0.0017095,0.024,-0.000136371,0.024,-0.000136371
0.026,-0.00216434,0.026,-0.000165594,0.026,-0.000165594
0.028,-0.00262797,0.028,-0.000209427,0.028,-0.000209427
0.03,-0.00310259,0.03,-0.000253577,0.03,-0.000263002
0.032,-0.0035816,0.032,-0.000298042,0.032,-0.000326317
0.034,-0.00406281,0.034,-0.000328529,0.034,-0.000394502
0.036,-0.00451985,0.036,-0.000340166,0.036,-0.000462688
0.038,-0.0049659,0.038,-0.000342694,0.038,-0.000540614
0.04,-0.00539437,0.04,-0.000336745,0.04,-0.000647763
0.042,-0.00578549,0.042,-0.000335982,0.042,-0.000769523
0.044,-0.00613706,0.044,-0.000345277,0.044,-0.000910765
0.046,-0.00647984,0.046,-0.000340592,0.046,-0.00105688
0.048,-0.00681383,0.048,-0.00034141,0.048,-0.00122734
0.05,-0.00713024,0.05,-0.000362025,0.05,-0.00142703
0.052,-0.00743786,0.052,-0.000388458,0.052,-0.00166081
0.054,-0.00772571,0.054,-0.000449301,0.054,-0.00193842
0.056,-0.00798499,0.056,-0.000495848,0.056,-0.00221116
0.058,-0.0082179,0.058,-0.000562193,0.058,-0.00251313
0.06,-0.00842445,0.06,-0.000648335,0.06,-0.00284431
0.062,-0.00859803,0.062,-0.000725053,0.062,-0.0031755
0.064,-0.00873646,0.064,-0.000816698,0.064,-0.00353104
0.066,-0.00884413,0.066,-0.000932378,0.066,-0.00390119
0.068,-0.00892763,0.068,-0.00105843,0.068,-0.00430056
0.07,-0.00898915,0.07,-0.00117474,0.07,-0.0046902
0.072,-0.00903749,0.072,-0.00130535,0.072,-0.0050847
0.074,-0.00908144,0.074,-0.00143596,0.074,-0.0054792
0.076,-0.00912099,0.076,-0.00155651,0.076,-0.00585422
0.078,-0.00915835,0.078,-0.00169073,0.078,-0.00621463
0.08,-0.0092001,0.08,-0.00185777,0.08,-0.00657017
0.082,-0.00924404,0.082,-0.00206707,0.082,-0.00692084
0.084,-0.00929018,0.084,-0.00233778,0.084,-0.00727638
0.086,-0.00933633,0.086,-0.00258351,0.086,-0.00758808
0.088,-0.00938247,0.088,-0.00282374,0.088,-0.00787544
0.09,-0.00942642,0.09,-0.00306334,0.09,-0.00814331
0.092,-0.00947036,0.092,-0.0032877,0.092,-0.00837709
0.094,-0.00950991,0.094,-0.00354456,0.094,-0.00859626
0.096,-0.00954507,0.096,-0.00381022,0.096,-0.00879594
0.098,-0.00957583,0.098,-0.00406064,0.098,-0.00896154
0.1,-0.0096044,0.1,-0.00433446,0.1,-0.00912226
0.102,-0.00962857,0.102,-0.00461252,0.102,-0.00926837
0.104,-0.00964834,0.104,-0.00489937,0.104,-0.009395
0.106,-0.00966812,0.106,-0.00518104,0.106,-0.00950702
0.108,-0.0096857,0.108,-0.00546663,0.108,-0.00959469
0.11,-0.00970328,0.11,-0.00576132,0.11,-0.00967261
