Time - Measured (m/s^2),Amplitude - Measured (m/s^2)
0,0
0,0
0,5.98E-06
0,5.97E-06
0,5.96E-06
0,5.95E-06
0,5.93E-06
0,5.92E-06
0,-7.14E-08
0,-7.13E-08
0,-6.05E-06
0,-6.04E-06
0,-6.03E-06
0,-1.20E-05
0,-1.80E-05
0,-1.79E-05
0,-1.79E-05
0,-1.78E-05
0,-2.38E-05
0,-2.37E-05
0,-1.77E-05
0,-5.72E-06
0,-1.77E-05
0,-1.76E-05
0,-1.16E-05
0,-1.76E-05
0,-2.35E-05
0,-1.15E-05
0,-6.53E-05
0,-5.32E-05
0,-2.32E-05
0,-2.32E-05
0,-6.50E-05
0,-5.29E-05
0,1.04E-06
0,-2.29E-05
0,-5.28E-05
0,-5.86E-05
0,-6.45E-05
0,-0.000112213
0,-0.000106007
0,-0.000105795
0,-0.000111565
0,-0.000111342
0,-0.000117101
0,-0.000116866
0,-0.000116633
0,-0.000116399
0,-0.000116167
0,-0.000115934
0,-0.000121684
0,-0.000127422
0,-0.000133149
0,-0.000132882
0,-0.000138598
0,-0.000138321
0,-0.000132063
0,-8.39E-05
0,-7.78E-05
0,-0.000107549
0,-9.54E-05
0,-0.000101162
0,-0.000106941
0,-0.000100746
0,-8.86E-05
0,-8.24E-05
0,-0.000106184
0,-0.000111953
0,-0.000105747
0,-9.96E-05
0,-5.15E-05
0,-4.54E-05
0,-5.73E-05
0,-6.32E-05
0,-6.90E-05
0,-6.29E-05
0,-6.28E-05
0,-6.86E-05
0,-6.25E-05
0,-6.84E-05
0,-6.82E-05
0,-6.21E-05
0,-5.60E-05
0,-6.19E-05
0,-6.17E-05
0,-6.16E-05
0,-7.35E-05
0,-7.33E-05
0,-7.32E-05
0,-7.30E-05
0,-7.89E-05
0,-7.87E-05
0,-7.26E-05
0,-7.84E-05
0,-8.42E-05
0,-8.41E-05
0,-8.39E-05
0,-7.77E-05
0,-7.16E-05
0,-7.15E-05
0,-6.53E-05
0,-7.12E-05
0,-7.10E-05
0,-7.69E-05
0,-7.67E-05
0,-7.66E-05
0,-7.64E-05
0,-8.82E-05
0,-8.81E-05
0,-8.79E-05
0,-9.37E-05
0,-8.75E-05
0,-8.14E-05
0,-7.52E-05
0,-7.51E-05
0,-8.09E-05
0,-7.48E-05
0,-7.46E-05
0,-8.04E-05
0,-7.43E-05
0,-7.41E-05
0,-8.00E-05
0,-7.98E-05
0,-8.56E-05
0,-8.55E-05
0,-8.53E-05
0,-8.51E-05
0,-8.50E-05
0,-8.48E-05
0,-8.46E-05
0,-8.44E-05
0,-8.43E-05
0,-8.41E-05
0,-8.99E-05
0,-8.97E-05
0,-9.55E-05
0,-8.94E-05
