Time - Measured (m/s^2),Amplitude - Measured (m/s^2)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,5.98E-06
0,5.97E-06
0,-2.39E-08
0,-2.39E-08
0,-6.01E-06
0,-5.99E-06
0,-1.20E-05
0,-1.19E-05
0,-1.79E-05
0,-1.79E-05
0,-1.18E-05
0,-2.38E-05
0,-2.97E-05
0,-2.97E-05
0,-2.36E-05
0,-2.36E-05
0,-1.75E-05
0,-1.15E-05
0,-5.94E-05
0,5.81E-07
0,5.80E-07
0,1.85E-05
0,3.64E-05
0,3.64E-05
0,4.82E-05
0,5.41E-05
0,5.40E-05
0,5.39E-05
0,5.38E-05
0,7.76E-05
0,8.35E-05
0,9.52E-05
0,0.000154872
0,0.000190451
0,0.00019007
0,0.000219598
0,0.00022514
0,0.000230671
0,0.00023021
0,0.000223768
0,0.000229302
0,0.000228843
0,0.000222404
0,0.000221959
0,0.000215534
0,0.000221084
0,0.000220642
0,0.000214219
0,0.000213791
0,0.000219345
0,0.000224887
0,0.000224438
0,0.000223989
0,0.000247467
0,0.00024099
0,0.000234527
0,0.000293872
0,0.00031721
0,0.000328539
0,0.000357789
0,0.000357073
0,0.000362341
0,0.000409467
0,0.000402667
0,0.00039588
0,0.000389107
0,0.000382347
0,0.000375601
0,0.000362887
0,0.000404032
0,0.000409205
0,0.000402405
0,0.000377674
0,0.000382901
0,0.000406061
0,0.000459081
0,0.000464145
0,0.000469198
0,0.000462278
0,0.000467335
0,0.00050827
0,0.000507254
0,0.000500258
0,0.000499257
0,0.000492277
0,0.000527181
0,0.000526127
0,0.000531056
0,0.000535976
0,0.000540885
0,0.000539803
0,0.000544705
0,0.000537634
0,0.000530578
0,0.000487646
0,0.000546486
0,0.000551374
0,0.000556253
0,0.000549159
0,0.00054806
0,0.000546964
0,0.000551852
0,0.000550748
0,0.000549647
0,0.000548547
0,0.000541469
0,0.000540386
0,0.000539305
0,0.000526264
0,0.00051923
0,0.00051221
0,0.000511185
0,0.000510163
0,0.000509143
0,0.000508124
0,0.000507108
0,0.000506094
0,0.000505082
0,0.000504071
0,0.000497082
0,0.000502069
0,0.000501065
0,0.000506044
0,0.000499051
0,0.000492071
0,0.000491087
0,0.000490105
0,0.000489125
0,0.000482165
0,0.000481201
0,0.000480238
0,0.000473296
0,0.00047235
0,0.000471405
0,0.000470462
0,0.000469521
0,0.000468582
0,0.000467645
0,0.00046671
0,0.000465776
0,0.000464845
0,0.000457934
0,0.000457018
0,0.000456104
0,0.000455192
0,0.000454281
0,0.000447391
0,0.000452478
0,0.000451573
0,0.000444688
0,0.000443799
0,0.000442911
0,0.000448007
0,0.00044113
0,0.000440247
