"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Top Plate, Vehicle Body (m)","Amplitude - Top Plate, Vehicle Body (m)","Time - Middle Plate, VehicleTire (m)","Amplitude - Middle Plate, VehicleTire (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,-4.39E-06,0.006,0,0.006,0
0.008,-1.54E-05,0.008,0,0.008,0
0.01,-5.71E-05,0.01,0,0.01,0
0.012,-0.000151614,0.012,0,0.012,0
0.014,-0.000305425,0.014,0,0.014,0
0.016,-0.000487801,0.016,-9.74E-06,0.016,-9.74E-06
0.018,-0.000705333,0.018,-3.90E-05,0.018,-3.90E-05
0.02,-0.00099318,0.02,-6.33E-05,0.02,-6.33E-05
0.022,-0.00135134,0.022,-7.31E-05,0.022,-7.31E-05
0.024,-0.00174685,0.024,-0.000107149,0.024,-0.000107149
0.026,-0.00217752,0.026,-0.000141242,0.026,-0.000141242
0.028,-0.00261259,0.028,-0.000185075,0.028,-0.000185075
0.03,-0.00306743,0.03,-0.00023865,0.03,-0.00023865
0.032,-0.00353326,0.032,-0.000268188,0.032,-0.000277613
0.034,-0.0039837,0.034,-0.000308099,0.034,-0.000345798
0.036,-0.00440339,0.036,-0.000314866,0.036,-0.000409114
0.038,-0.0047989,0.038,-0.000312523,0.038,-0.00048217
0.04,-0.00517025,0.04,-0.000330294,0.04,-0.000594189
0.042,-0.005535,0.042,-0.000319475,0.042,-0.000696467
0.044,-0.00588657,0.044,-0.000309288,0.044,-0.000818227
0.046,-0.00622495,0.046,-0.000314028,0.046,-0.000964339
0.048,-0.00654795,0.048,-0.00032427,0.048,-0.0011348
0.05,-0.00686437,0.05,-0.000359181,0.05,-0.00133936
0.052,-0.00718957,0.052,-0.000375874,0.052,-0.0015634
0.054,-0.00749279,0.054,-0.00043153,0.054,-0.0018264
0.056,-0.00776965,0.056,-0.000477761,0.056,-0.0020894
0.058,-0.00801795,0.058,-0.000538919,0.058,-0.00237676
0.06,-0.00823109,0.06,-0.000624746,0.06,-0.0026982
0.062,-0.00840687,0.062,-0.000715758,0.062,-0.00303426
0.064,-0.00855409,0.064,-0.000811642,0.064,-0.00337519
0.066,-0.00867933,0.066,-0.000927322,0.066,-0.00374534
0.068,-0.00877821,0.068,-0.00103813,0.068,-0.00411062
0.07,-0.00885732,0.07,-0.00116811,0.07,-0.00448564
0.072,-0.00891884,0.072,-0.00130296,0.072,-0.00486553
0.074,-0.00896718,0.074,-0.00144236,0.074,-0.00524055
0.076,-0.00901332,0.076,-0.00158112,0.076,-0.00559609
0.078,-0.00905727,0.078,-0.00172445,0.078,-0.00594676
0.08,-0.00909902,0.08,-0.00187688,0.08,-0.00628769
0.082,-0.00913857,0.082,-0.0020524,0.082,-0.006614
0.084,-0.00917812,0.084,-0.00224614,0.084,-0.00692084
0.086,-0.00921987,0.086,-0.00248668,0.086,-0.00721793
0.088,-0.00925722,0.088,-0.00273571,0.088,-0.0074858
0.09,-0.00929458,0.09,-0.00299839,0.09,-0.00773907
0.092,-0.00933193,0.092,-0.00326076,0.092,-0.00798259
0.094,-0.00936709,0.094,-0.00351244,0.094,-0.00818714
0.096,-0.00940225,0.096,-0.00377292,0.096,-0.00837222
0.098,-0.00943081,0.098,-0.00403731,0.098,-0.00853294
0.1,-0.00945938,0.1,-0.0043248,0.1,-0.00867905
0.102,-0.00948794,0.102,-0.0046217,0.102,-0.00882516
0.104,-0.00951431,0.104,-0.00492254,0.104,-0.00894692
0.106,-0.00954287,0.106,-0.00522273,0.106,-0.0090492
0.108,-0.00956485,0.108,-0.00551288,0.108,-0.009132
0.11,-0.00958902,0.11,-0.00582124,0.11,-0.00919532
0.112,-0.00960879,0.112,-0.00613934,0.112,-0.00926837
