"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Top Plate, Vehicle Body (m)","Amplitude - Top Plate, Vehicle Body (m)","Time - Middle Plate, VehicleTire (m)","Amplitude - Middle Plate, VehicleTire (m)"
0,0,0,0,0,0
0.002,0,0.002,0,0.002,0
0.004,0,0.004,0,0.004,0
0.006,-2.20E-06,0.006,0,0.006,0
0.008,-1.76E-05,0.008,0,0.008,0
0.01,-6.59E-05,0.01,0,0.01,0
0.012,-0.0001626,0.012,-4.87E-06,0.012,-4.87E-06
0.014,-0.000309819,0.014,-9.74E-06,0.014,-9.74E-06
0.016,-0.000487801,0.016,-2.44E-05,0.016,-2.44E-05
0.018,-0.00071632,0.018,-4.87E-05,0.018,-4.87E-05
0.02,-0.00102174,0.02,-6.33E-05,0.02,-6.33E-05
0.022,-0.0013821,0.022,-9.25E-05,0.022,-9.25E-05
0.024,-0.00177981,0.024,-0.00012663,0.024,-0.00012663
0.026,-0.00220829,0.026,-0.000165594,0.026,-0.000165594
0.028,-0.00265654,0.028,-0.000219168,0.028,-0.000219168
0.03,-0.00311577,0.03,-0.000263318,0.03,-0.000272742
0.032,-0.00357061,0.032,-0.000293488,0.032,-0.000331187
0.034,-0.00401007,0.034,-0.000309679,0.034,-0.000394502
0.036,-0.00442316,0.036,-0.000321632,0.036,-0.000472429
0.038,-0.00480989,0.038,-0.000329346,0.038,-0.000564966
0.04,-0.00518563,0.04,-0.000318527,0.04,-0.000667245
0.042,-0.00554599,0.042,-0.000312894,0.042,-0.000784134
0.044,-0.00589536,0.044,-0.000317634,0.044,-0.000930246
0.046,-0.00622056,0.046,-0.000332431,0.046,-0.00109584
0.048,-0.00655015,0.048,-0.00035273,0.048,-0.00128579
0.05,-0.00687535,0.05,-0.000368791,0.05,-0.00149034
0.052,-0.00718297,0.052,-0.000399779,0.052,-0.00171925
0.054,-0.00748181,0.054,-0.000431715,0.054,-0.00197738
0.056,-0.00776746,0.056,-0.000492874,0.056,-0.00226474
0.058,-0.00801795,0.058,-0.000549794,0.058,-0.0025667
0.06,-0.00823768,0.06,-0.000626195,0.06,-0.00288815
0.062,-0.00841786,0.062,-0.00071297,0.062,-0.00323882
0.064,-0.00856508,0.064,-0.000794874,0.064,-0.00358461
0.066,-0.00867714,0.066,-0.000867669,0.066,-0.00394015
0.068,-0.00876942,0.068,-0.000955075,0.068,-0.0043103
0.07,-0.00884413,0.07,-0.00104311,0.07,-0.00469994
0.072,-0.00890566,0.072,-0.00113571,0.072,-0.0050847
0.074,-0.00895839,0.074,-0.00122798,0.074,-0.00545972
0.076,-0.00900673,0.076,-0.00134366,0.076,-0.00582987
0.078,-0.00905288,0.078,-0.00152076,0.078,-0.00620489
0.08,-0.00909902,0.08,-0.00173525,0.08,-0.00657017
0.082,-0.00914297,0.082,-0.00196371,0.082,-0.00693058
0.084,-0.00918691,0.084,-0.00220615,0.084,-0.00728612
0.086,-0.00922866,0.086,-0.00239015,0.086,-0.00758321
0.088,-0.00926821,0.088,-0.00259268,0.088,-0.00787057
0.09,-0.00930557,0.09,-0.0028183,0.09,-0.00814331
0.092,-0.00934072,0.092,-0.00305239,0.092,-0.00838683
0.094,-0.00937368,0.094,-0.00327643,0.094,-0.00861087
0.096,-0.00940444,0.096,-0.0035333,0.096,-0.00883004
0.098,-0.00943521,0.098,-0.00377979,0.098,-0.00901998
0.1,-0.00946377,0.1,-0.00404482,0.1,-0.00920019
0.102,-0.00949014,0.102,-0.00430403,0.102,-0.0093463
0.104,-0.00951431,0.104,-0.00456748,0.104,-0.0094778
0.106,-0.00953848,0.106,-0.00482087,0.106,-0.00958982
0.108,-0.00956045,0.108,-0.00509766,0.108,-0.00969697
0.11,-0.00958243,0.11,-0.00537901,0.11,-0.00979924
