Time - Measured (m/s^2),Amplitude - Measured (m/s^2)
0,0
0,0
0,5.98E-06
0,5.97E-06
0,5.96E-06
0,1.19E-05
0,1.19E-05
0,1.79E-05
0,1.78E-05
0,1.78E-05
0,1.18E-05
0,1.17E-05
0,1.17E-05
0,1.17E-05
0,1.17E-05
0,1.17E-05
0,1.76E-05
0,1.76E-05
0,2.35E-05
0,2.95E-05
0,3.54E-05
0,4.13E-05
0,4.72E-05
0,4.71E-05
0,5.30E-05
0,0.000106711
0,0.00011846
0,0.000178038
0,0.00012983
0,0.00012957
0,0.000129311
0,0.000141016
0,0.000158678
0,0.000128453
0,0.000122215
0,0.000133933
0,0.000133666
0,0.000175268
0,0.000174918
0,0.000204475
0,0.000198085
0,0.000167781
0,0.00014352
0,0.000119307
0,0.000119069
0,0.000118831
0,0.000118593
0,0.000118356
0,0.000112138
0,0.000117895
0,0.000117659
0,0.000117424
0,0.000117189
0,0.000110973
0,0.00010477
0,0.000110541
0,0.000122283
0,0.00012802
0,0.000127764
0,0.00013349
0,0.000193037
0,0.000252466
0,0.000257942
0,0.000227519
0,0.000221083
0,0.000250548
0,0.000232102
0,0.000291453
0,0.00029087
0,0.000302251
0,0.000307628
0,0.000312994
0,0.000330312
0,0.000335633
0,0.000364869
0,0.000364139
0,0.000363411
0,0.000356703
0,0.000355989
0,0.00036724
0,0.000372487
0,0.000371742
0,0.000370999
0,0.000370257
0,0.000369516
0,0.000374759
0,0.000374009
0,0.000379243
0,0.000378484
0,0.000383709
0,0.000382941
0,0.000382175
0,0.000381411
0,0.000380648
0,0.000379887
0,0.000379127
0,0.000378369
0,0.000383594
0,0.000388808
0,0.000382049
0,0.000381285
0,0.000386504
0,0.000385731
0,0.000390941
0,0.000384177
0,0.000383409
0,0.000382642
0,0.000387858
0,0.000387082
0,0.000380327
0,0.000385548
0,0.000390758
0,0.000389976
0,0.000389197
0,0.000388418
0,0.000387641
0,0.000386866
0,0.000380111
0,0.000379351
0,0.000378592
0,0.000377835
0,0.000377079
0,0.000376325
0,0.000381554
0,0.000380791
0,0.000380029
0,0.000379269
0,0.000372529
0,0.000359821
0,0.000365083
0,0.000370334
0,0.000345668
0,0.000350958
0,0.000356237
0,0.000355525
0,0.000354814
0,0.000360086
0,0.000329458
0,0.000304873
0,0.000310245
0,0.000309625
0,0.000314987
0,0.000314357
0,0.000313728
0,0.000354971
0,0.000360242
0,0.000359522
0,0.000358803
0,0.000358085
0,0.000417184
0,0.000416349
0,0.000415516
0,0.000408704
0,0.000407887
0,0.000407071
0,0.000412238
0,0.000417395
0,0.00041656
0,0.000421709
0,0.000426847
0,0.000437956
0,0.000443061
0,0.000400305
0,0.000399505
